#Filename=F:\pcameron\3_Experimental\AFM\311024\Image00023.nid
#Date=31-10-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.128966N/m
#Deflection-Sensitivity=6.38e-09m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=6
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=8078
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-4.7655e-06;-2.71104e-05;-6.15e-06
-4.7653e-06;-7.81095e-05;-6.14921e-06
-4.7647e-06;-0.000136987;-6.14842e-06
-4.76433e-06;-0.00014427;-6.14762e-06
-4.76344e-06;0.000127507;-6.14683e-06
-4.76266e-06;-9.73201e-06;-6.14604e-06
-4.76205e-06;-1.92315e-05;-6.14525e-06
-4.76144e-06;-9.38301e-05;-6.14446e-06
-4.76081e-06;-0.000101281;-6.14367e-06
-4.75997e-06;-9.59908e-05;-6.14287e-06
-4.75946e-06;-0.000123297;-6.14208e-06
-4.75877e-06;-0.000167591;-6.14129e-06
-4.75821e-06;-3.05191e-05;-6.1405e-06
-4.75738e-06;-9.63074e-05;-6.13971e-06
-4.75678e-06;5.72789e-06;-6.13891e-06
-4.7561e-06;-5.24237e-05;-6.13812e-06
-4.75532e-06;-6.87963e-05;-6.13733e-06
-4.75483e-06;-0.00022347;-6.13654e-06
-4.75411e-06;-0.000164238;-6.13575e-06
-4.7533e-06;-7.7532e-05;-6.13496e-06
-4.75303e-06;-5.18835e-05;-6.13416e-06
-4.75238e-06;-5.9539e-05;-6.13337e-06
-4.75163e-06;-7.37509e-05;-6.13258e-06
-4.75106e-06;-0.000219111;-6.13179e-06
-4.75037e-06;-0.000149784;-6.131e-06
-4.74977e-06;-8.12573e-05;-6.13021e-06
-4.74904e-06;-2.77623e-05;-6.12941e-06
-4.74838e-06;1.67547e-05;-6.12862e-06
-4.74784e-06;-7.62282e-05;-6.12783e-06
-4.74694e-06;-4.55505e-05;-6.12704e-06
-4.74649e-06;-0.000136689;-6.12625e-06
-4.74592e-06;-6.27613e-05;-6.12545e-06
-4.7451e-06;-0.000410609;-6.12466e-06
-4.74453e-06;-0.000161518;-6.12387e-06
-4.74378e-06;-0.000155781;-6.12308e-06
-4.74306e-06;-5.65029e-05;-6.12229e-06
-4.7425e-06;2.69061e-05;-6.1215e-06
-4.74195e-06;1.84125e-05;-6.1207e-06
-4.74122e-06;-7.47008e-05;-6.11991e-06
-4.74039e-06;3.85476e-05;-6.11912e-06
-4.73961e-06;7.55209e-05;-6.11833e-06
-4.73929e-06;-7.36646e-06;-6.11754e-06
-4.73833e-06;3.97769e-05;-6.11674e-06
-4.7374e-06;-3.89009e-05;-6.11595e-06
-4.73686e-06;7.04732e-05;-6.11516e-06
-4.73637e-06;0.000221347;-6.11437e-06
-4.73582e-06;5.41937e-05;-6.11358e-06
-4.73475e-06;0.000207005;-6.11279e-06
-4.73437e-06;0.000134567;-6.11199e-06
-4.73348e-06;5.44545e-05;-6.1112e-06
-4.73301e-06;-0.000110892;-6.11041e-06
-4.7321e-06;-3.8845e-05;-6.10962e-06
-4.73166e-06;3.10039e-05;-6.10883e-06
-4.7311e-06;5.53299e-05;-6.10804e-06
-4.73042e-06;-3.17856e-05;-6.10724e-06
-4.72975e-06;-1.51777e-06;-6.10645e-06
-4.72906e-06;-3.70383e-05;-6.10566e-06
-4.7282e-06;0.000107558;-6.10487e-06
-4.72755e-06;0.000118622;-6.10408e-06
-4.72705e-06;0.000121286;-6.10328e-06
-4.72621e-06;2.07966e-05;-6.10249e-06
-4.72557e-06;6.16257e-05;-6.1017e-06
-4.72479e-06;0.000191936;-6.10091e-06
-4.72418e-06;7.42543e-05;-6.10012e-06
-4.72364e-06;3.22705e-05;-6.09933e-06
-4.72283e-06;0.000107186;-6.09853e-06
-4.72218e-06;1.65871e-05;-6.09774e-06
-4.72152e-06;2.49876e-05;-6.09695e-06
-4.72107e-06;5.82357e-05;-6.09616e-06
-4.72014e-06;7.64709e-05;-6.09537e-06
-4.71935e-06;2.62355e-05;-6.09457e-06
-4.7186e-06;0.000134883;-6.09378e-06
-4.71814e-06;0.000102492;-6.09299e-06
-4.71728e-06;1.15579e-05;-6.0922e-06
-4.7169e-06;-8.56904e-05;-6.09141e-06
-4.716e-06;0.000219913;-6.09062e-06
-4.71532e-06;3.01098e-05;-6.08982e-06
-4.7147e-06;-0.000123092;-6.08903e-06
-4.71405e-06;4.24591e-05;-6.08824e-06
-4.71338e-06;0.000168243;-6.08745e-06
-4.71294e-06;8.04756e-05;-6.08666e-06
-4.71257e-06;8.74605e-05;-6.08586e-06
-4.71149e-06;-0.000119888;-6.08507e-06
-4.71067e-06;0.000248653;-6.08428e-06
-4.71016e-06;0.000274171;-6.08349e-06
-4.70951e-06;0.000165207;-6.0827e-06
-4.7089e-06;0.000274488;-6.08191e-06
-4.70799e-06;0.000108136;-6.08111e-06
-4.70724e-06;6.83498e-05;-6.08032e-06
-4.70668e-06;0.00015079;-6.07953e-06
-4.70583e-06;0.000125123;-6.07874e-06
-4.70523e-06;0.00017018;-6.07795e-06
-4.70474e-06;0.000148052;-6.07716e-06
-4.70382e-06;0.000194134;-6.07636e-06
-4.70295e-06;0.000173663;-6.07557e-06
-4.7023e-06;0.000171018;-6.07478e-06
-4.70169e-06;0.000287601;-6.07399e-06
-4.70089e-06;0.000225799;-6.0732e-06
-4.70037e-06;0.000192737;-6.0724e-06
-4.69956e-06;3.93858e-05;-6.07161e-06
-4.69912e-06;0.000193556;-6.07082e-06
-4.69804e-06;0.000248877;-6.07003e-06
-4.69771e-06;0.000280281;-6.06924e-06
-4.69685e-06;0.00035108;-6.06845e-06
-4.69635e-06;0.000271936;-6.06765e-06
-4.69525e-06;0.00024355;-6.06686e-06
-4.69501e-06;0.000317589;-6.06607e-06
-4.69439e-06;0.000230492;-6.06528e-06
-4.6936e-06;0.000319918;-6.06449e-06
-4.69271e-06;0.000281324;-6.06369e-06
-4.69219e-06;0.0003405;-6.0629e-06
-4.69136e-06;0.000463397;-6.06211e-06
-4.691e-06;0.000394144;-6.06132e-06
-4.6901e-06;0.000282348;-6.06053e-06
-4.68966e-06;0.000271117;-6.05974e-06
-4.68848e-06;0.000137361;-6.05894e-06
-4.68803e-06;8.11089e-05;-6.05815e-06
-4.68738e-06;0.000143358;-6.05736e-06
-4.68663e-06;0.000156024;-6.05657e-06
-4.68582e-06;0.000301291;-6.05578e-06
-4.68524e-06;0.000208383;-6.05499e-06
-4.68459e-06;0.000268937;-6.05419e-06
-4.68384e-06;0.000146525;-6.0534e-06
-4.68327e-06;0.000172713;-6.05261e-06
-4.68253e-06;8.2897e-05;-6.05182e-06
-4.68198e-06;2.80795e-05;-6.05103e-06
-4.68102e-06;0.000227903;-6.05023e-06
-4.68031e-06;7.33603e-05;-6.04944e-06
-4.67971e-06;0.000145146;-6.04865e-06
-4.67923e-06;8.22823e-05;-6.04786e-06
-4.67856e-06;0.000201026;-6.04707e-06
-4.67772e-06;0.000166511;-6.04628e-06
-4.67703e-06;0.000167424;-6.04548e-06
-4.67616e-06;7.90972e-05;-6.04469e-06
-4.67556e-06;0.000168355;-6.0439e-06
-4.675e-06;0.000151386;-6.04311e-06
-4.67422e-06;0.000180015;-6.04232e-06
-4.67354e-06;6.44941e-05;-6.04152e-06
-4.6729e-06;0.000256998;-6.04073e-06
-4.67225e-06;0.000224681;-6.03994e-06
-4.67147e-06;0.000130562;-6.03915e-06
-4.67095e-06;0.000244332;-6.03836e-06
-4.67014e-06;0.000129053;-6.03757e-06
-4.66963e-06;6.46059e-05;-6.03677e-06
-4.66873e-06;7.12182e-05;-6.03598e-06
-4.66825e-06;0.00022198;-6.03519e-06
-4.66752e-06;0.000193072;-6.0344e-06
-4.66672e-06;9.167e-05;-6.03361e-06
-4.66581e-06;0.000161314;-6.03281e-06
-4.66534e-06;0.000175954;-6.03202e-06
-4.66466e-06;0.000173701;-6.03123e-06
-4.6637e-06;4.7451e-05;-6.03044e-06
-4.66305e-06;6.75488e-05;-6.02965e-06
-4.66237e-06;0.000125589;-6.02886e-06
-4.66165e-06;-2.58438e-05;-6.02806e-06
-4.66096e-06;9.77608e-05;-6.02727e-06
-4.66031e-06;2.79119e-05;-6.02648e-06
-4.65986e-06;8.39959e-05;-6.02569e-06
-4.65871e-06;7.34838e-06;-6.0249e-06
-4.65801e-06;9.3812e-05;-6.02411e-06
-4.65733e-06;8.53184e-05;-6.02331e-06
-4.65691e-06;3.12833e-05;-6.02252e-06
-4.65644e-06;0.000143693;-6.02173e-06
-4.65553e-06;1.51715e-05;-6.02094e-06
-4.65474e-06;5.5926e-05;-6.02015e-06
-4.65403e-06;0.00010713;-6.01935e-06
-4.65333e-06;0.000179847;-6.01856e-06
-4.65269e-06;0.000121398;-6.01777e-06
-4.65187e-06;0.000259978;-6.01698e-06
-4.65109e-06;0.000155894;-6.01619e-06
-4.65018e-06;5.01518e-05;-6.0154e-06
-4.64989e-06;0.000324351;-6.0146e-06
-4.64895e-06;0.000123055;-6.01381e-06
-4.64829e-06;0.000119777;-6.01302e-06
-4.64755e-06;0.000309785;-6.01223e-06
-4.64691e-06;0.000159749;-6.01144e-06
-4.64595e-06;0.000164406;-6.01064e-06
-4.64548e-06;0.000176383;-6.00985e-06
-4.64468e-06;0.000138981;-6.00906e-06
-4.64411e-06;1.75184e-05;-6.00827e-06
-4.64325e-06;9.77236e-05;-6.00748e-06
-4.64264e-06;0.000180555;-6.00669e-06
-4.64205e-06;5.38585e-05;-6.00589e-06
-4.64132e-06;0.000151051;-6.0051e-06
-4.64071e-06;0.000106869;-6.00431e-06
-4.63992e-06;0.000250553;-6.00352e-06
-4.63931e-06;0.000170162;-6.00273e-06
-4.63867e-06;0.000163884;-6.00193e-06
-4.63754e-06;0.000156229;-6.00114e-06
-4.63698e-06;0.000120969;-6.00035e-06
-4.63632e-06;0.00017683;-5.99956e-06
-4.63573e-06;8.75163e-05;-5.99877e-06
-4.63459e-06;0.000338134;-5.99798e-06
-4.63408e-06;0.00032232;-5.99718e-06
-4.63334e-06;0.00019676;-5.99639e-06
-4.63261e-06;0.000196481;-5.9956e-06
-4.63183e-06;0.000322842;-5.99481e-06
-4.63139e-06;0.000369203;-5.99402e-06
-4.63012e-06;0.000299149;-5.99323e-06
-4.62973e-06;0.000338004;-5.99243e-06
-4.62901e-06;0.000280709;-5.99164e-06
-4.62843e-06;0.000416551;-5.99085e-06
-4.62762e-06;0.000339885;-5.99006e-06
-4.62719e-06;0.000397124;-5.98927e-06
-4.62616e-06;0.000477944;-5.98847e-06
-4.62568e-06;0.000513874;-5.98768e-06
-4.62471e-06;0.000360765;-5.98689e-06
-4.62412e-06;0.000327089;-5.9861e-06
-4.62376e-06;0.000335284;-5.98531e-06
-4.62294e-06;0.000446521;-5.98452e-06
-4.622e-06;0.00039636;-5.98372e-06
-4.62139e-06;0.00036233;-5.98293e-06
-4.6203e-06;0.000329976;-5.98214e-06
-4.61982e-06;0.000261114;-5.98135e-06
-4.61914e-06;0.00039148;-5.98056e-06
-4.61848e-06;0.000491206;-5.97976e-06
-4.61758e-06;0.000546508;-5.97897e-06
-4.61698e-06;0.000553157;-5.97818e-06
-4.61625e-06;0.000381776;-5.97739e-06
-4.61555e-06;0.000505176;-5.9766e-06
-4.61474e-06;0.000534121;-5.97581e-06
-4.61412e-06;0.000507541;-5.97501e-06
-4.61319e-06;0.000606634;-5.97422e-06
-4.61257e-06;0.000496123;-5.97343e-06
-4.61181e-06;0.000645619;-5.97264e-06
-4.61129e-06;0.000469078;-5.97185e-06
-4.6102e-06;0.000512161;-5.97106e-06
-4.60976e-06;0.000464384;-5.97026e-06
-4.60875e-06;0.000548333;-5.96947e-06
-4.60788e-06;0.000547085;-5.96868e-06
-4.60752e-06;0.000411727;-5.96789e-06
-4.6065e-06;0.000445813;-5.9671e-06
-4.6057e-06;0.000376449;-5.9663e-06
-4.60477e-06;0.000422456;-5.96551e-06
-4.60452e-06;0.000439294;-5.96472e-06
-4.60349e-06;0.000528738;-5.96393e-06
-4.60304e-06;0.000455182;-5.96314e-06
-4.60217e-06;0.000531569;-5.96235e-06
-4.6017e-06;0.000601921;-5.96155e-06
-4.60088e-06;0.000715281;-5.96076e-06
-4.59989e-06;0.000604436;-5.95997e-06
-4.59894e-06;0.00063461;-5.95918e-06
-4.59838e-06;0.000532277;-5.95839e-06
-4.59793e-06;0.000635374;-5.95759e-06
-4.59699e-06;0.000635076;-5.9568e-06
-4.59637e-06;0.000534177;-5.95601e-06
-4.59572e-06;0.000706639;-5.95522e-06
-4.59494e-06;0.000688124;-5.95443e-06
-4.59419e-06;0.000626452;-5.95364e-06
-4.59346e-06;0.000531141;-5.95284e-06
-4.59293e-06;0.000543956;-5.95205e-06
-4.59185e-06;0.00063217;-5.95126e-06
-4.59149e-06;0.000672776;-5.95047e-06
-4.59062e-06;0.000742774;-5.94968e-06
-4.58975e-06;0.000626825;-5.94888e-06
-4.58875e-06;0.000728934;-5.94809e-06
-4.58805e-06;0.000639323;-5.9473e-06
-4.58718e-06;0.000593055;-5.94651e-06
-4.58663e-06;0.000680729;-5.94572e-06
-4.58572e-06;0.000641856;-5.94493e-06
-4.5849e-06;0.000682517;-5.94413e-06
-4.58427e-06;0.000515048;-5.94334e-06
-4.58369e-06;0.000603001;-5.94255e-06
-4.58271e-06;0.000647612;-5.94176e-06
-4.58211e-06;0.000721968;-5.94097e-06
-4.58128e-06;0.000679854;-5.94018e-06
-4.58061e-06;0.000807016;-5.93938e-06
-4.5798e-06;0.000758122;-5.93859e-06
-4.57928e-06;0.000729493;-5.9378e-06
-4.57875e-06;0.000613302;-5.93701e-06
-4.57784e-06;0.000622019;-5.93622e-06
-4.57713e-06;0.000434004;-5.93542e-06
-4.57632e-06;0.000679183;-5.93463e-06
-4.57619e-06;0.000759016;-5.93384e-06
-4.57489e-06;0.000805433;-5.93305e-06
-4.57439e-06;0.000785652;-5.93226e-06
-4.5735e-06;0.000649735;-5.93147e-06
-4.5729e-06;0.000680264;-5.93067e-06
-4.57201e-06;0.00056912;-5.92988e-06
-4.57114e-06;0.000713828;-5.92909e-06
-4.57052e-06;0.000754304;-5.9283e-06
-4.56964e-06;0.000799324;-5.92751e-06
-4.5692e-06;0.00089795;-5.92671e-06
-4.56829e-06;0.000771384;-5.92592e-06
-4.56754e-06;0.000556231;-5.92513e-06
-4.56684e-06;0.000783286;-5.92434e-06
-4.56609e-06;0.000758476;-5.92355e-06
-4.56535e-06;0.000867589;-5.92276e-06
-4.56469e-06;0.000653181;-5.92196e-06
-4.5638e-06;0.00093185;-5.92117e-06
-4.56284e-06;0.000779673;-5.92038e-06
-4.56199e-06;0.000751472;-5.91959e-06
-4.56144e-06;0.000655733;-5.9188e-06
-4.56066e-06;0.000692818;-5.91801e-06
-4.55987e-06;0.000688608;-5.91721e-06
-4.5591e-06;0.000731915;-5.91642e-06
-4.55827e-06;0.000795729;-5.91563e-06
-4.55743e-06;0.000743519;-5.91484e-06
-4.55721e-06;0.00080873;-5.91405e-06
-4.5562e-06;0.000787906;-5.91325e-06
-4.55525e-06;0.000767584;-5.91246e-06
-4.55462e-06;0.000788185;-5.91167e-06
-4.55376e-06;0.000657931;-5.91088e-06
-4.55291e-06;0.000726178;-5.91009e-06
-4.55251e-06;0.000756576;-5.9093e-06
-4.5516e-06;0.000929634;-5.9085e-06
-4.55085e-06;0.000972009;-5.90771e-06
-4.54997e-06;0.000910765;-5.90692e-06
-4.54938e-06;0.000842462;-5.90613e-06
-4.54836e-06;0.000724967;-5.90534e-06
-4.54788e-06;0.000749219;-5.90454e-06
-4.5469e-06;0.000920451;-5.90375e-06
-4.54623e-06;0.000818155;-5.90296e-06
-4.54553e-06;0.000845219;-5.90217e-06
-4.54498e-06;0.000801466;-5.90138e-06
-4.54394e-06;0.000878281;-5.90059e-06
-4.5433e-06;0.000930677;-5.89979e-06
-4.54264e-06;0.000854886;-5.899e-06
-4.54185e-06;0.000950402;-5.89821e-06
-4.54085e-06;0.000781312;-5.89742e-06
-4.54017e-06;0.000861405;-5.89663e-06
-4.53947e-06;0.000816851;-5.89583e-06
-4.53894e-06;0.000994044;-5.89504e-06
-4.53808e-06;0.000896162;-5.89425e-06
-4.53737e-06;0.000742699;-5.89346e-06
-4.5363e-06;0.0010174;-5.89267e-06
-4.53589e-06;0.000779486;-5.89188e-06
-4.5349e-06;0.000889866;-5.89108e-06
-4.53441e-06;0.000811114;-5.89029e-06
-4.53349e-06;0.000856693;-5.8895e-06
-4.53315e-06;0.000826127;-5.88871e-06
-4.53242e-06;0.000932558;-5.88792e-06
-4.53146e-06;0.00101574;-5.88713e-06
-4.53033e-06;0.000992311;-5.88633e-06
-4.52966e-06;0.000881857;-5.88554e-06
-4.52871e-06;0.000943082;-5.88475e-06
-4.52813e-06;0.00100494;-5.88396e-06
-4.5272e-06;0.00108546;-5.88317e-06
-4.52692e-06;0.00103992;-5.88237e-06
-4.52601e-06;0.000902234;-5.88158e-06
-4.52513e-06;0.00088426;-5.88079e-06
-4.52464e-06;0.000857885;-5.88e-06
-4.52394e-06;0.00110398;-5.87921e-06
-4.5229e-06;0.00110834;-5.87842e-06
-4.52219e-06;0.00112011;-5.87762e-06
-4.52163e-06;0.00110206;-5.87683e-06
-4.52088e-06;0.0012015;-5.87604e-06
-4.51995e-06;0.00106898;-5.87525e-06
-4.51917e-06;0.000894821;-5.87446e-06
-4.51851e-06;0.00102794;-5.87366e-06
-4.51766e-06;0.00126688;-5.87287e-06
-4.51715e-06;0.00110128;-5.87208e-06
-4.51611e-06;0.00109608;-5.87129e-06
-4.51577e-06;0.00110206;-5.8705e-06
-4.51476e-06;0.000957406;-5.86971e-06
-4.51419e-06;0.000908083;-5.86891e-06
-4.51355e-06;0.000946006;-5.86812e-06
-4.51268e-06;0.00105292;-5.86733e-06
-4.51176e-06;0.00107805;-5.86654e-06
-4.51113e-06;0.00109165;-5.86575e-06
-4.51037e-06;0.0010299;-5.86496e-06
-4.50969e-06;0.00118295;-5.86416e-06
-4.5091e-06;0.00106162;-5.86337e-06
-4.50832e-06;0.00109964;-5.86258e-06
-4.50748e-06;0.00112271;-5.86179e-06
-4.50664e-06;0.00117627;-5.861e-06
-4.50589e-06;0.00111804;-5.8602e-06
-4.50519e-06;0.00100053;-5.85941e-06
-4.50466e-06;0.00124963;-5.85862e-06
-4.50363e-06;0.00108064;-5.85783e-06
-4.50256e-06;0.00124293;-5.85704e-06
-4.50197e-06;0.00110398;-5.85625e-06
-4.50138e-06;0.00110156;-5.85545e-06
-4.50063e-06;0.0012081;-5.85466e-06
-4.50008e-06;0.00110942;-5.85387e-06
-4.49925e-06;0.00116814;-5.85308e-06
-4.49855e-06;0.00108671;-5.85229e-06
-4.49776e-06;0.00107224;-5.85149e-06
-4.49724e-06;0.00104705;-5.8507e-06
-4.49644e-06;0.00106831;-5.84991e-06
-4.49584e-06;0.00119409;-5.84912e-06
-4.49502e-06;0.00102178;-5.84833e-06
-4.49419e-06;0.00129739;-5.84754e-06
-4.49287e-06;0.00108224;-5.84674e-06
-4.49224e-06;0.00125168;-5.84595e-06
-4.49151e-06;0.00118388;-5.84516e-06
-4.49083e-06;0.00117455;-5.84437e-06
-4.49009e-06;0.00122645;-5.84358e-06
-4.48931e-06;0.00123514;-5.84278e-06
-4.48825e-06;0.00127888;-5.84199e-06
