#Filename=F:\pcameron\3_Experimental\AFM\311024\Image00023.nid
#Date=31-10-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.128966N/m
#Deflection-Sensitivity=6.38e-09m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=4
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=8325
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-4.76381e-06;-8.09965e-05;-6.15e-06
-4.76346e-06;-9.02911e-05;-6.14921e-06
-4.76286e-06;-0.000109439;-6.14842e-06
-4.76236e-06;7.06222e-05;-6.14762e-06
-4.76169e-06;-5.48079e-05;-6.14683e-06
-4.7609e-06;0.000144941;-6.14604e-06
-4.76017e-06;0.000215088;-6.14525e-06
-4.7594e-06;2.43729e-05;-6.14446e-06
-4.75914e-06;-8.31572e-05;-6.14367e-06
-4.75802e-06;3.69271e-05;-6.14287e-06
-4.75763e-06;7.27084e-05;-6.14208e-06
-4.757e-06;-9.55624e-05;-6.14129e-06
-4.75635e-06;-2.67193e-05;-6.1405e-06
-4.75551e-06;-1.38484e-05;-6.13971e-06
-4.75521e-06;-6.23515e-05;-6.13892e-06
-4.75425e-06;-1.90266e-05;-6.13812e-06
-4.75361e-06;-8.75717e-05;-6.13733e-06
-4.75291e-06;4.4657e-05;-6.13654e-06
-4.75224e-06;-9.44075e-05;-6.13575e-06
-4.75168e-06;-0.000128959;-6.13496e-06
-4.7513e-06;-0.000103758;-6.13417e-06
-4.75064e-06;-0.000148592;-6.13337e-06
-4.74985e-06;-4.38928e-05;-6.13258e-06
-4.74934e-06;-8.51875e-05;-6.13179e-06
-4.74868e-06;9.93745e-06;-6.131e-06
-4.74781e-06;-4.35203e-05;-6.13021e-06
-4.74734e-06;-0.000227921;-6.12941e-06
-4.7466e-06;-0.000118734;-6.12862e-06
-4.74596e-06;-4.84376e-05;-6.12783e-06
-4.74521e-06;-0.000228145;-6.12704e-06
-4.74457e-06;-0.00030917;-6.12625e-06
-4.74382e-06;-0.000171521;-6.12546e-06
-4.7432e-06;-0.000205849;-6.12466e-06
-4.74261e-06;-0.000242115;-6.12387e-06
-4.74186e-06;-0.000309654;-6.12308e-06
-4.74132e-06;6.20727e-05;-6.12229e-06
-4.74059e-06;-0.000112643;-6.1215e-06
-4.73981e-06;-3.93666e-05;-6.12071e-06
-4.73891e-06;-4.68171e-05;-6.11991e-06
-4.7383e-06;-5.30383e-05;-6.11912e-06
-4.73771e-06;-0.000175339;-6.11833e-06
-4.73703e-06;-0.000162561;-6.11754e-06
-4.7367e-06;-9.39978e-05;-6.11675e-06
-4.73564e-06;2.81727e-05;-6.11596e-06
-4.73516e-06;-1.8356e-05;-6.11516e-06
-4.73455e-06;-0.000123521;-6.11437e-06
-4.73415e-06;-0.000107073;-6.11358e-06
-4.7332e-06;2.41866e-05;-6.11279e-06
-4.73256e-06;-5.52735e-05;-6.112e-06
-4.73183e-06;-6.25937e-05;-6.11121e-06
-4.73148e-06;-8.20955e-05;-6.11041e-06
-4.73052e-06;-3.6554e-05;-6.10962e-06
-4.73e-06;-0.000134324;-6.10883e-06
-4.72909e-06;5.71553e-05;-6.10804e-06
-4.72892e-06;-3.62374e-05;-6.10725e-06
-4.72796e-06;1.72949e-05;-6.10645e-06
