#Filename=F:\pcameron\3_Experimental\AFM\311024\Image00023.nid
#Date=31-10-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.128966N/m
#Deflection-Sensitivity=6.38e-09m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=5
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=8175
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-4.76532e-06;-0.000175619;-6.15e-06
-4.76506e-06;-0.000243419;-6.14921e-06
-4.76456e-06;-0.000143283;-6.14842e-06
-4.76341e-06;-8.65286e-05;-6.14762e-06
-4.76311e-06;-6.16437e-05;-6.14683e-06
-4.76221e-06;3.07611e-07;-6.14604e-06
-4.76165e-06;-0.000142557;-6.14525e-06
-4.7608e-06;-0.000188545;-6.14446e-06
-4.7604e-06;-0.000147586;-6.14367e-06
-4.7594e-06;-8.59884e-05;-6.14287e-06
-4.75903e-06;-0.000243437;-6.14208e-06
-4.75848e-06;-4.56437e-05;-6.14129e-06
-4.75777e-06;-0.000262809;-6.1405e-06
-4.75714e-06;-4.21419e-05;-6.13971e-06
-4.75655e-06;-0.000174371;-6.13892e-06
-4.75576e-06;-0.000105043;-6.13812e-06
-4.7551e-06;7.37887e-05;-6.13733e-06
-4.75446e-06;-3.45423e-05;-6.13654e-06
-4.7535e-06;-0.000130524;-6.13575e-06
-4.7531e-06;-5.88684e-05;-6.13496e-06
-4.75232e-06;6.84615e-05;-6.13416e-06
-4.7516e-06;5.6075e-05;-6.13337e-06
-4.75115e-06;-6.00791e-05;-6.13258e-06
-4.75043e-06;0.000184299;-6.13179e-06
-4.74951e-06;9.83569e-05;-6.131e-06
-4.74921e-06;1.99584e-05;-6.13021e-06
-4.74859e-06;1.32716e-05;-6.12941e-06
-4.74806e-06;8.01962e-05;-6.12862e-06
-4.74706e-06;-9.17322e-06;-6.12783e-06
-4.74678e-06;3.80447e-05;-6.12704e-06
-4.74597e-06;-9.83191e-05;-6.12625e-06
-4.74516e-06;3.08549e-05;-6.12546e-06
-4.74438e-06;6.78096e-05;-6.12466e-06
-4.74371e-06;-2.57693e-05;-6.12387e-06
-4.74306e-06;-3.99067e-05;-6.12308e-06
-4.74252e-06;4.85127e-05;-6.12229e-06
-4.7419e-06;1.64381e-05;-6.1215e-06
-4.74138e-06;-0.00012516;-6.1207e-06
-4.74062e-06;2.726e-05;-6.11991e-06
-4.74018e-06;-6.77532e-05;-6.11912e-06
-4.73923e-06;-3.56972e-05;-6.11833e-06
-4.73889e-06;-3.5108e-06;-6.11754e-06
-4.73796e-06;3.37047e-05;-6.11675e-06
-4.73757e-06;1.38794e-06;-6.11595e-06
-4.73672e-06;3.00844e-06;-6.11516e-06
-4.73604e-06;-7.16088e-05;-6.11437e-06
-4.73543e-06;9.58796e-05;-6.11358e-06
-4.73453e-06;-6.70268e-05;-6.11279e-06
-4.73416e-06;0.000147661;-6.112e-06
-4.73378e-06;3.4785e-05;-6.1112e-06
-4.73276e-06;0.000163642;-6.11041e-06
-4.73216e-06;5.79749e-05;-6.10962e-06
-4.73146e-06;0.000118716;-6.10883e-06
-4.73052e-06;0.000210208;-6.10804e-06
-4.72988e-06;0.000116983;-6.10724e-06
-4.72933e-06;5.61495e-05;-6.10645e-06
-4.72851e-06;-0.000149169;-6.10566e-06
-4.72791e-06;0.00011255;-6.10487e-06
-4.72717e-06;3.5586e-05;-6.10408e-06
-4.72664e-06;-2.33734e-06;-6.10329e-06
-4.72619e-06;-4.02979e-05;-6.10249e-06
-4.72539e-06;-2.35155e-05;-6.1017e-06
-4.72509e-06;7.27084e-05;-6.10091e-06
-4.72397e-06;2.5267e-05;-6.10012e-06
-4.72326e-06;9.41287e-05;-6.09933e-06
-4.72263e-06;-2.91221e-05;-6.09854e-06
-4.72207e-06;0.000151889;-6.09774e-06
-4.72121e-06;6.83125e-05;-6.09695e-06
-4.72045e-06;7.03801e-05;-6.09616e-06
-4.71985e-06;0.000159135;-6.09537e-06
-4.71919e-06;4.01122e-05;-6.09458e-06
-4.7185e-06;2.97e-05;-6.09378e-06
-4.71785e-06;0.00014429;-6.09299e-06
-4.71721e-06;0.000173533;-6.0922e-06
-4.7169e-06;0.00012991;-6.09141e-06
-4.716e-06;0.000162897;-6.09062e-06
-4.7154e-06;0.000174613;-6.08983e-06
-4.71443e-06;0.000201566;-6.08903e-06
-4.71414e-06;0.000140732;-6.08824e-06
-4.71298e-06;0.00010266;-6.08745e-06
-4.7127e-06;0.00017994;-6.08666e-06
-4.71193e-06;0.000323047;-6.08587e-06
-4.7114e-06;0.000166529;-6.08508e-06
-4.71041e-06;0.000297696;-6.08428e-06
-4.70952e-06;0.000181021;-6.08349e-06
-4.70896e-06;0.000360821;-6.0827e-06
-4.70853e-06;0.00029738;-6.08191e-06
-4.7078e-06;0.000300509;-6.08112e-06
-4.70716e-06;0.000193221;-6.08032e-06
-4.7064e-06;2.43543e-05;-6.07953e-06
-4.70595e-06;0.000188527;-6.07874e-06
-4.70487e-06;8.07736e-05;-6.07795e-06
-4.70452e-06;0.000179568;-6.07716e-06
-4.70372e-06;0.00019609;-6.07637e-06
-4.703e-06;0.000124937;-6.07557e-06
-4.70217e-06;6.09924e-05;-6.07478e-06
-4.70158e-06;0.000147884;-6.07399e-06
-4.70084e-06;5.9167e-05;-6.0732e-06
-4.7002e-06;0.000161929;-6.07241e-06
-4.69929e-06;0.000107204;-6.07162e-06
-4.69884e-06;6.84057e-05;-6.07082e-06
-4.69819e-06;0.000147493;-6.07003e-06
-4.6973e-06;0.000228481;-6.06924e-06
-4.69676e-06;0.00015608;-6.06845e-06
-4.69591e-06;0.000279275;-6.06766e-06
-4.69529e-06;0.000218702;-6.06687e-06
-4.6943e-06;0.000290078;-6.06607e-06
-4.69393e-06;0.000100983;-6.06528e-06
-4.69305e-06;0.000176364;-6.06449e-06
-4.69263e-06;0.000118455;-6.0637e-06
-4.69162e-06;0.000166194;-6.06291e-06
-4.69127e-06;0.000235391;-6.06211e-06
-4.69027e-06;0.000347224;-6.06132e-06
-4.68978e-06;0.000310642;-6.06053e-06
