#Filename=F:\pcameron\3_Experimental\AFM\311024\Image00023.nid
#Date=31-10-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.128966N/m
#Deflection-Sensitivity=6.38e-09m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=2
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=8538
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-4.77394e-06;-6.25751e-05;-6.15e-06
-4.77395e-06;-4.28311e-05;-6.14921e-06
-4.77322e-06;-7.90662e-06;-6.14842e-06
-4.77263e-06;-7.44401e-05;-6.14762e-06
-4.77181e-06;-0.000123483;-6.14683e-06
-4.77088e-06;-0.000137025;-6.14604e-06
-4.77031e-06;-7.17206e-05;-6.14525e-06
-4.76966e-06;-8.59884e-05;-6.14446e-06
-4.76918e-06;-0.000164182;-6.14367e-06
-4.76838e-06;-7.10569e-06;-6.14287e-06
-4.76786e-06;-0.000106366;-6.14208e-06
-4.76718e-06;-0.000124117;-6.14129e-06
-4.76668e-06;-7.5688e-05;-6.1405e-06
-4.76611e-06;1.82634e-05;-6.13971e-06
-4.76543e-06;1.44382e-06;-6.13892e-06
-4.76487e-06;-2.02932e-05;-6.13812e-06
-4.76412e-06;8.19284e-05;-6.13733e-06
-4.76343e-06;-2.85074e-05;-6.13654e-06
-4.76253e-06;8.39587e-05;-6.13575e-06
-4.76209e-06;0.000164462;-6.13496e-06
-4.76118e-06;4.09504e-05;-6.13417e-06
-4.76087e-06;1.77226e-07;-6.13337e-06
-4.76011e-06;-1.49474e-05;-6.13258e-06
-4.75963e-06;4.83078e-05;-6.13179e-06
-4.75883e-06;0.000163903;-6.131e-06
-4.75846e-06;0.000112196;-6.13021e-06
-4.75736e-06;-0.000114561;-6.12942e-06
-4.75679e-06;9.34768e-05;-6.12862e-06
-4.75602e-06;9.86549e-05;-6.12783e-06
-4.75578e-06;9.845e-05;-6.12704e-06
-4.75503e-06;0.000123763;-6.12625e-06
-4.75422e-06;-8.70756e-06;-6.12546e-06
-4.75337e-06;-8.16298e-05;-6.12466e-06
-4.75271e-06;7.22241e-05;-6.12387e-06
-4.75229e-06;-1.36435e-05;-6.12308e-06
-4.75175e-06;1.7239e-05;-6.12229e-06
-4.75102e-06;-2.41302e-05;-6.1215e-06
-4.7502e-06;0.00011242;-6.12071e-06
-4.74958e-06;2.93461e-05;-6.11991e-06
-4.74889e-06;-7.28941e-05;-6.11912e-06
-4.74825e-06;-0.000118957;-6.11833e-06
-4.74756e-06;-0.000172117;-6.11754e-06
-4.74695e-06;-0.000111004;-6.11675e-06
-4.74634e-06;-9.50849e-06;-6.11596e-06
-4.74578e-06;-4.74697e-07;-6.11516e-06
-4.74491e-06;3.54556e-05;-6.11437e-06
-4.74423e-06;0.00012544;-6.11358e-06
-4.74365e-06;7.9258e-06;-6.11279e-06
-4.74299e-06;1.9232e-05;-6.112e-06
-4.74221e-06;-9.09871e-06;-6.11121e-06
-4.74153e-06;5.68946e-05;-6.11041e-06
-4.74097e-06;6.6841e-05;-6.10962e-06
-4.74028e-06;2.71669e-05;-6.10883e-06
-4.73957e-06;2.292e-05;-6.10804e-06
-4.73881e-06;-3.35365e-05;-6.10725e-06
-4.73814e-06;7.18329e-05;-6.10645e-06
-4.73772e-06;0.000199181;-6.10566e-06
-4.73713e-06;2.91412e-05;-6.10487e-06
-4.73639e-06;1.85801e-05;-6.10408e-06
-4.73559e-06;6.32275e-05;-6.10329e-06
-4.73514e-06;-4.18818e-07;-6.1025e-06
-4.73448e-06;7.61915e-05;-6.1017e-06
-4.73389e-06;0.000142986;-6.10091e-06
-4.73296e-06;-0.000130654;-6.10012e-06
-4.73243e-06;1.5395e-05;-6.09933e-06
-4.73197e-06;9.6606e-05;-6.09854e-06
-4.73086e-06;6.09737e-05;-6.09775e-06
-4.73066e-06;5.34673e-05;-6.09695e-06
-4.72984e-06;0.00018497;-6.09616e-06
-4.72917e-06;0.000106441;-6.09537e-06
-4.72831e-06;0.000220285;-6.09458e-06
-4.72784e-06;0.000140322;-6.09379e-06
