#Filename=F:\pcameron\3_Experimental\AFM\311024\Image00023.nid
#Date=31-10-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.128966N/m
#Deflection-Sensitivity=6.38e-09m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=1
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=8420
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-4.7875e-06;-0.000106403;-6.15e-06
-4.78738e-06;-0.0001021;-6.14921e-06
-4.78682e-06;-7.84634e-05;-6.14842e-06
-4.78611e-06;3.0799e-05;-6.14762e-06
-4.78536e-06;-9.23586e-05;-6.14683e-06
-4.78465e-06;-3.132e-05;-6.14604e-06
-4.78401e-06;2.37769e-05;-6.14525e-06
-4.78357e-06;0.000202739;-6.14446e-06
-4.78263e-06;7.83149e-05;-6.14367e-06
-4.78192e-06;-5.22442e-06;-6.14287e-06
-4.78109e-06;4.05033e-05;-6.14208e-06
-4.78062e-06;-0.000227828;-6.14129e-06
-4.77985e-06;-9.29733e-05;-6.1405e-06
-4.77932e-06;-0.000228853;-6.13971e-06
-4.77886e-06;1.74625e-05;-6.13892e-06
-4.77821e-06;-1.06261e-05;-6.13812e-06
-4.77758e-06;-5.20698e-05;-6.13733e-06
-4.7767e-06;2.52297e-05;-6.13654e-06
-4.77643e-06;4.4508e-05;-6.13575e-06
-4.77543e-06;1.63636e-05;-6.13496e-06
-4.77511e-06;-0.000122645;-6.13416e-06
-4.77411e-06;-0.00010441;-6.13337e-06
-4.77371e-06;2.08153e-05;-6.13258e-06
-4.77297e-06;3.29224e-05;-6.13179e-06
-4.77222e-06;-2.12804e-05;-6.131e-06
-4.7718e-06;-5.70244e-05;-6.13021e-06
-4.77099e-06;4.19935e-05;-6.12941e-06
-4.77025e-06;-3.99626e-05;-6.12862e-06
-4.76969e-06;-7.9227e-05;-6.12783e-06
-4.76897e-06;7.57631e-05;-6.12704e-06
-4.76841e-06;-5.92037e-05;-6.12625e-06
-4.76789e-06;6.95723e-06;-6.12545e-06
-4.76756e-06;-7.98113e-06;-6.12466e-06
-4.76654e-06;-0.000106813;-6.12387e-06
-4.76577e-06;-0.000103963;-6.12308e-06
-4.765e-06;-0.000138124;-6.12229e-06
-4.76413e-06;-0.00017668;-6.1215e-06
-4.76375e-06;-0.000113425;-6.1207e-06
-4.7631e-06;-7.77928e-05;-6.11991e-06
-4.76248e-06;6.50902e-05;-6.11912e-06
-4.7616e-06;3.06127e-05;-6.11833e-06
-4.76116e-06;2.61797e-05;-6.11754e-06
-4.7604e-06;0.000119367;-6.11675e-06
-4.7599e-06;9.43454e-06;-6.11595e-06
-4.7592e-06;-7.2447e-05;-6.11516e-06
-4.75844e-06;4.3111e-05;-6.11437e-06
-4.7578e-06;0.000129109;-6.11358e-06
-4.75681e-06;5.82357e-05;-6.11279e-06
-4.75628e-06;-3.64236e-05;-6.11199e-06
-4.75564e-06;6.17188e-05;-6.1112e-06
-4.75494e-06;0.000127042;-6.11041e-06
-4.75426e-06;-8.2468e-05;-6.10962e-06
-4.75375e-06;4.53089e-05;-6.10883e-06
-4.75298e-06;0.000187279;-6.10804e-06
-4.75239e-06;-6.45377e-06;-6.10724e-06
-4.75167e-06;-9.00676e-05;-6.10645e-06
-4.75079e-06;-6.183e-05;-6.10566e-06
-4.75023e-06;-7.29499e-05;-6.10487e-06
-4.74957e-06;3.56046e-05;-6.10408e-06
-4.74888e-06;-0.000251372;-6.10329e-06
-4.7482e-06;-0.000108172;-6.10249e-06
-4.74752e-06;1.57861e-05;-6.1017e-06
-4.74723e-06;-2.55272e-05;-6.10091e-06
-4.7465e-06;1.031e-05;-6.10012e-06
-4.746e-06;1.70714e-05;-6.09933e-06
-4.7451e-06;6.75488e-05;-6.09853e-06
-4.74439e-06;-0.000114152;-6.09774e-06
-4.74354e-06;-1.13711e-05;-6.09695e-06
-4.74298e-06;-0.000134603;-6.09616e-06
-4.74216e-06;-9.14273e-05;-6.09537e-06
-4.74194e-06;-0.000107819;-6.09458e-06
-4.74102e-06;-7.31362e-05;-6.09378e-06
-4.74021e-06;-6.15506e-05;-6.09299e-06
-4.73964e-06;-8.9248e-05;-6.0922e-06
-4.73907e-06;-4.43957e-05;-6.09141e-06
-4.73819e-06;-0.000273128;-6.09062e-06
-4.73762e-06;-0.000182715;-6.08983e-06
-4.73704e-06;-0.000193593;-6.08903e-06
-4.73617e-06;-0.000133653;-6.08824e-06
-4.73562e-06;-8.98627e-05;-6.08745e-06
-4.7348e-06;-0.000321724;-6.08666e-06
-4.73405e-06;-0.000141458;-6.08587e-06
-4.73356e-06;-0.000119497;-6.08507e-06
-4.73287e-06;-3.22699e-05;-6.08428e-06
-4.73204e-06;-5.8738e-05;-6.08349e-06
-4.73147e-06;-0.000154776;-6.0827e-06
-4.73094e-06;7.59121e-05;-6.08191e-06
-4.73005e-06;-0.000166771;-6.08112e-06
-4.72925e-06;-0.000224662;-6.08032e-06
