#Filename=F:\pcameron\3_Experimental\AFM\311024\Image00023.nid
#Date=31-10-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.128966N/m
#Deflection-Sensitivity=6.38e-09m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=8
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=8371
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-4.76652e-06;8.43312e-05;-6.15e-06
-4.76598e-06;6.455e-05;-6.14921e-06
-4.76553e-06;-5.06169e-05;-6.14842e-06
-4.76509e-06;-1.38739e-06;-6.14762e-06
-4.76443e-06;6.67665e-05;-6.14683e-06
-4.76359e-06;0.000143451;-6.14604e-06
-4.76303e-06;-5.7043e-05;-6.14525e-06
-4.76223e-06;4.27758e-05;-6.14446e-06
-4.76171e-06;-3.24376e-05;-6.14367e-06
-4.76112e-06;2.69992e-05;-6.14287e-06
-4.76038e-06;-0.000151907;-6.14208e-06
-4.75986e-06;0.000121044;-6.14129e-06
-4.75908e-06;-7.34715e-05;-6.1405e-06
-4.75847e-06;9.18377e-05;-6.13971e-06
-4.75757e-06;9.20425e-05;-6.13892e-06
-4.757e-06;-2.48635e-06;-6.13812e-06
-4.75616e-06;2.93461e-05;-6.13733e-06
-4.7556e-06;1.64871e-06;-6.13654e-06
-4.75497e-06;0.000183256;-6.13575e-06
-4.7544e-06;0.000131493;-6.13496e-06
-4.75394e-06;0.000243326;-6.13416e-06
-4.75319e-06;0.000163642;-6.13337e-06
-4.75287e-06;7.10134e-05;-6.13258e-06
-4.75189e-06;1.27687e-05;-6.13179e-06
-4.75142e-06;0.000155857;-6.131e-06
-4.75047e-06;0.000166436;-6.13021e-06
-4.74972e-06;9.26758e-05;-6.12941e-06
-4.74923e-06;-3.81745e-05;-6.12862e-06
-4.74844e-06;5.4827e-05;-6.12783e-06
-4.74799e-06;-7.67497e-05;-6.12704e-06
-4.74716e-06;-1.69218e-05;-6.12625e-06
-4.74662e-06;1.96045e-05;-6.12546e-06
-4.74574e-06;0.000133561;-6.12466e-06
-4.74519e-06;0.000115642;-6.12387e-06
-4.7443e-06;1.10178e-05;-6.12308e-06
-4.74363e-06;5.56025e-06;-6.12229e-06
-4.74298e-06;-9.3737e-05;-6.1215e-06
-4.74243e-06;0.000162394;-6.12071e-06
-4.74153e-06;0.000101151;-6.11991e-06
-4.7411e-06;0.000130692;-6.11912e-06
-4.7404e-06;0.000145798;-6.11833e-06
-4.73984e-06;0.000119237;-6.11754e-06
-4.73904e-06;1.23216e-05;-6.11675e-06
-4.73847e-06;0.00010808;-6.11595e-06
-4.73777e-06;-2.5285e-05;-6.11516e-06
-4.7372e-06;0.000150827;-6.11437e-06
-4.73642e-06;-1.09614e-05;-6.11358e-06
-4.73605e-06;0.000317776;-6.11279e-06
-4.73547e-06;9.9747e-06;-6.112e-06
-4.73465e-06;0.000176923;-6.1112e-06
-4.73409e-06;0.000130674;-6.11041e-06
-4.73324e-06;0.000130115;-6.10962e-06
-4.73241e-06;0.000130208;-6.10883e-06
-4.73164e-06;0.000149654;-6.10804e-06
-4.73106e-06;2.4168e-05;-6.10725e-06
-4.7306e-06;2.31622e-05;-6.10645e-06
