#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=5
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6535
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.27524e-06;0.000202218;-6.03768e-06
-4.27433e-06;0.000109272;-6.0367e-06
-4.27352e-06;0.000108825;-6.03573e-06
-4.27264e-06;2.48663e-06;-6.03475e-06
-4.27165e-06;0.000102436;-6.03377e-06
-4.27077e-06;0.000109365;-6.0328e-06
-4.26984e-06;0.000204956;-6.03182e-06
-4.26873e-06;0.000105305;-6.03084e-06
-4.26818e-06;5.66337e-05;-6.02987e-06
-4.26726e-06;0.000178115;-6.02889e-06
-4.26656e-06;0.000122404;-6.02791e-06
-4.26555e-06;0.000131158;-6.02694e-06
-4.2646e-06;0.00011689;-6.02596e-06
-4.26361e-06;9.47062e-05;-6.02498e-06
-4.2629e-06;0.000138329;-6.02401e-06
-4.26209e-06;0.000142856;-6.02303e-06
-4.26126e-06;8.98074e-05;-6.02205e-06
-4.26043e-06;-5.46407e-05;-6.02108e-06
-4.25944e-06;2.48756e-05;-6.0201e-06
-4.25825e-06;5.09899e-05;-6.01912e-06
-4.25762e-06;0.000142762;-6.01815e-06
-4.25661e-06;0.000289315;-6.01717e-06
-4.25565e-06;0.000143582;-6.01619e-06
-4.25494e-06;0.000231219;-6.01522e-06
-4.25413e-06;0.000148034;-6.01424e-06
-4.25304e-06;0.000236863;-6.01326e-06
-4.25209e-06;0.000264132;-6.01229e-06
-4.25138e-06;0.000159414;-6.01131e-06
-4.25035e-06;0.000231536;-6.01033e-06
-4.24946e-06;0.00022064;-6.00936e-06
-4.24878e-06;0.000213711;-6.00838e-06
-4.24771e-06;0.0002643;-6.0074e-06
-4.24716e-06;0.000309227;-6.00643e-06
-4.24605e-06;0.000193911;-6.00545e-06
-4.24519e-06;0.000269217;-6.00447e-06
-4.24427e-06;0.000340277;-6.0035e-06
-4.24336e-06;0.000274302;-6.00252e-06
-4.24263e-06;0.000449615;-6.00154e-06
-4.24175e-06;0.000200672;-6.00057e-06
-4.24078e-06;0.000288347;-5.99959e-06
-4.23975e-06;0.000153733;-5.99861e-06
-4.23904e-06;0.000293171;-5.99764e-06
-4.2383e-06;0.000275737;-5.99666e-06
-4.23719e-06;0.000216691;-5.99568e-06
-4.23643e-06;0.000232486;-5.99471e-06
-4.23561e-06;0.000291495;-5.99373e-06
-4.23468e-06;8.16118e-05;-5.99275e-06
-4.23383e-06;0.000203485;-5.99178e-06
-4.23281e-06;0.000202144;-5.9908e-06
-4.23169e-06;0.000448423;-5.98982e-06
-4.23106e-06;0.000317404;-5.98885e-06
-4.23049e-06;0.00037157;-5.98787e-06
-4.22941e-06;0.000347951;-5.98689e-06
-4.22833e-06;0.000247909;-5.98592e-06
-4.2272e-06;0.000430522;-5.98494e-06
-4.22674e-06;0.000385838;-5.98396e-06
-4.22595e-06;0.000399826;-5.98299e-06
-4.22473e-06;0.000322713;-5.98201e-06
-4.22413e-06;0.000158986;-5.98103e-06
-4.22313e-06;0.000210637;-5.98006e-06
-4.22196e-06;0.000359183;-5.97908e-06
-4.22101e-06;0.000162618;-5.9781e-06
-4.22035e-06;0.000251299;-5.97713e-06
-4.21945e-06;0.00042581;-5.97615e-06
-4.21857e-06;0.000275997;-5.97517e-06
-4.21742e-06;0.000203131;-5.9742e-06
-4.21685e-06;0.000216002;-5.97322e-06
-4.21592e-06;0.00013425;-5.97224e-06
-4.21479e-06;0.000207508;-5.97127e-06
-4.2139e-06;0.000287211;-5.97029e-06
-4.2129e-06;0.000236174;-5.96931e-06
-4.21205e-06;0.000274209;-5.96834e-06
-4.21135e-06;0.000296021;-5.96736e-06
-4.2103e-06;0.000246326;-5.96638e-06
-4.20969e-06;0.000246605;-5.96541e-06
-4.20862e-06;0.00019866;-5.96443e-06
-4.20761e-06;0.000358345;-5.96345e-06
-4.20671e-06;0.000201976;-5.96248e-06
-4.2059e-06;0.000244295;-5.9615e-06
-4.20484e-06;0.000134753;-5.96052e-06
-4.20421e-06;0.00027393;-5.95955e-06
-4.20315e-06;0.000208663;-5.95857e-06
-4.20248e-06;0.000184914;-5.95759e-06
-4.20152e-06;0.000186963;-5.95662e-06
-4.20074e-06;0.000152877;-5.95564e-06
-4.19973e-06;0.00014334;-5.95466e-06
-4.19875e-06;0.00033333;-5.95369e-06
-4.19768e-06;0.000254838;-5.95271e-06
-4.19694e-06;0.000418099;-5.95173e-06
-4.19572e-06;0.000266051;-5.95076e-06
-4.19503e-06;0.000383584;-5.94978e-06
-4.19384e-06;0.000401819;-5.9488e-06
-4.19282e-06;0.000505308;-5.94783e-06
-4.19208e-06;0.00050786;-5.94685e-06
-4.19118e-06;0.000290973;-5.94587e-06
-4.19054e-06;0.000482602;-5.9449e-06
-4.18957e-06;0.00038241;-5.94392e-06
-4.18852e-06;0.000366317;-5.94294e-06
-4.18797e-06;0.000508269;-5.94197e-06
-4.1869e-06;0.000460045;-5.94099e-06
-4.18605e-06;0.000377679;-5.94001e-06
-4.18508e-06;0.000525163;-5.93904e-06
-4.18414e-06;0.000410443;-5.93806e-06
-4.18333e-06;0.00042486;-5.93708e-06
-4.18233e-06;0.000491077;-5.93611e-06
-4.18139e-06;0.000571655;-5.93513e-06
-4.18062e-06;0.000551855;-5.93415e-06
-4.17947e-06;0.000430951;-5.93318e-06
-4.17865e-06;0.00047137;-5.9322e-06
-4.17756e-06;0.000535892;-5.93122e-06
-4.1766e-06;0.000488115;-5.93025e-06
-4.17551e-06;0.000470458;-5.92927e-06
-4.17483e-06;0.000428902;-5.92829e-06
-4.17368e-06;0.000490109;-5.92732e-06
-4.1729e-06;0.000442388;-5.92634e-06
-4.17206e-06;0.00041618;-5.92536e-06
-4.17133e-06;0.000387179;-5.92439e-06
-4.17019e-06;0.000416907;-5.92341e-06
-4.16934e-06;0.000626268;-5.92243e-06
-4.16819e-06;0.000510057;-5.92145e-06
-4.16736e-06;0.000594417;-5.92048e-06
-4.16652e-06;0.000530714;-5.9195e-06
-4.16554e-06;0.000424506;-5.91852e-06
-4.16456e-06;0.000565117;-5.91755e-06
-4.16381e-06;0.000577206;-5.91657e-06
-4.16293e-06;0.000567334;-5.91559e-06
-4.16212e-06;0.00054636;-5.91462e-06
-4.16135e-06;0.000577411;-5.91364e-06
-4.16023e-06;0.00069716;-5.91266e-06
-4.15941e-06;0.000685966;-5.91169e-06
-4.15829e-06;0.000764849;-5.91071e-06
-4.1571e-06;0.000619395;-5.90973e-06
-4.15631e-06;0.000613192;-5.90876e-06
-4.15538e-06;0.00061213;-5.90778e-06
-4.15428e-06;0.000543324;-5.9068e-06
-4.15347e-06;0.000793645;-5.90583e-06
-4.15254e-06;0.000675218;-5.90485e-06
-4.15159e-06;0.000774013;-5.90387e-06
-4.15053e-06;0.000744862;-5.9029e-06
-4.14966e-06;0.000663502;-5.90192e-06
-4.14873e-06;0.000663744;-5.90094e-06
-4.14791e-06;0.000719177;-5.89997e-06
-4.14714e-06;0.000738548;-5.89899e-06
-4.14632e-06;0.000760956;-5.89801e-06
