#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=2
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6294
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.38195e-06;-0.00012842;-6.15e-06
-4.3814e-06;-0.000130618;-6.14902e-06
-4.38057e-06;0.000174725;-6.14805e-06
-4.37978e-06;-1.83564e-05;-6.14707e-06
-4.37913e-06;-7.90972e-05;-6.14609e-06
-4.37831e-06;-1.0198e-05;-6.14512e-06
-4.37741e-06;-0.000104094;-6.14414e-06
-4.37682e-06;-0.000165896;-6.14316e-06
-4.37598e-06;-0.000111787;-6.14219e-06
-4.37531e-06;-3.83053e-05;-6.14121e-06
-4.37412e-06;-1.45938e-05;-6.14023e-06
-4.37357e-06;5.64661e-05;-6.13926e-06
-4.37268e-06;-2.46335e-05;-6.13828e-06
-4.37197e-06;4.94998e-05;-6.1373e-06
-4.37125e-06;4.4154e-05;-6.13633e-06
-4.37012e-06;-4.57931e-05;-6.13535e-06
-4.36954e-06;5.75278e-05;-6.13437e-06
-4.36852e-06;-1.59256e-06;-6.1334e-06
-4.36751e-06;-0.000172975;-6.13242e-06
-4.36659e-06;-2.21375e-05;-6.13144e-06
-4.36586e-06;0.000110632;-6.13047e-06
-4.36494e-06;-4.59142e-06;-6.12949e-06
-4.36418e-06;0.000131344;-6.12851e-06
-4.36338e-06;-6.61239e-07;-6.12754e-06
-4.3625e-06;-6.0536e-07;-6.12656e-06
-4.36186e-06;2.29571e-05;-6.12558e-06
-4.36113e-06;-3.17674e-05;-6.12461e-06
-4.36038e-06;-9.65875e-05;-6.12363e-06
-4.35965e-06;3.39653e-05;-6.12265e-06
-4.35893e-06;5.6671e-05;-6.12168e-06
-4.35792e-06;5.61681e-05;-6.1207e-06
-4.35717e-06;2.47266e-05;-6.11972e-06
-4.35645e-06;6.73253e-05;-6.11875e-06
-4.35535e-06;-6.05825e-05;-6.11777e-06
-4.35465e-06;-2.07406e-05;-6.11679e-06
-4.35384e-06;-0.000137659;-6.11582e-06
-4.35308e-06;4.31202e-06;-6.11484e-06
-4.35194e-06;-0.000131084;-6.11386e-06
-4.35133e-06;-6.22775e-05;-6.11288e-06
-4.3502e-06;-0.00011106;-6.11191e-06
-4.34939e-06;-0.000141589;-6.11093e-06
-4.34883e-06;-0.000118138;-6.10995e-06
-4.34789e-06;-3.18047e-05;-6.10898e-06
-4.34676e-06;-5.86454e-05;-6.108e-06
-4.34643e-06;8.72742e-05;-6.10702e-06
-4.34531e-06;2.63844e-05;-6.10605e-06
-4.34464e-06;-8.93604e-05;-6.10507e-06
-4.34359e-06;5.95115e-06;-6.10409e-06
-4.34313e-06;4.6296e-05;-6.10312e-06
-4.34215e-06;-2.78e-05;-6.10214e-06
-4.34162e-06;6.64126e-05;-6.10116e-06
-4.3403e-06;0.000120914;-6.10019e-06
-4.33967e-06;-2.63564e-06;-6.09921e-06
-4.33854e-06;2.2715e-05;-6.09823e-06
-4.33792e-06;-8.07457e-06;-6.09726e-06
-4.3371e-06;-2.67196e-05;-6.09628e-06
-4.33618e-06;6.8387e-05;-6.0953e-06
-4.33525e-06;7.82032e-05;-6.09433e-06
-4.33435e-06;-6.61332e-05;-6.09335e-06
-4.33359e-06;0.00010631;-6.09237e-06
-4.33263e-06;0.000162264;-6.0914e-06
-4.33173e-06;0.0001154;-6.09042e-06
-4.33125e-06;3.15811e-05;-6.08944e-06
-4.32994e-06;-0.000128141;-6.08847e-06
-4.32931e-06;6.29853e-05;-6.08749e-06
-4.32813e-06;-0.000143042;-6.08651e-06
-4.32759e-06;-5.96698e-05;-6.08554e-06
-4.32674e-06;8.05501e-05;-6.08456e-06
-4.32547e-06;-5.21448e-05;-6.08358e-06
-4.32509e-06;0.000110222;-6.08261e-06
-4.3244e-06;5.69131e-05;-6.08163e-06
-4.32371e-06;9.0804e-06;-6.08065e-06
-4.32271e-06;0.000195755;-6.07968e-06
-4.3219e-06;0.00013574;-6.0787e-06
-4.32072e-06;0.000131326;-6.07772e-06
-4.32e-06;-7.94418e-06;-6.07675e-06
-4.31912e-06;0.000146003;-6.07577e-06
-4.31829e-06;0.000139894;-6.07479e-06
-4.31736e-06;0.000120038;-6.07382e-06
-4.31659e-06;-2.46707e-05;-6.07284e-06
-4.31563e-06;0.000107819;-6.07186e-06
-4.3149e-06;3.17581e-06;-6.07089e-06
-4.31384e-06;0.000124304;-6.06991e-06
-4.31328e-06;-7.14604e-05;-6.06893e-06
-4.3124e-06;0.000106795;-6.06796e-06
-4.31163e-06;0.000119405;-6.06698e-06
-4.31083e-06;2.89176e-05;-6.066e-06
-4.3099e-06;-6.58445e-06;-6.06503e-06
-4.309e-06;2.36835e-05;-6.06405e-06
-4.30797e-06;0.000103069;-6.06307e-06
-4.30724e-06;-2.32551e-05;-6.0621e-06
-4.30635e-06;0.000201957;-6.06112e-06
-4.30557e-06;5.39329e-05;-6.06014e-06
-4.30476e-06;1.59256e-06;-6.05917e-06
-4.30396e-06;-3.67966e-05;-6.05819e-06
-4.30335e-06;-4.32599e-05;-6.05721e-06
-4.30212e-06;5.51809e-05;-6.05624e-06
-4.30127e-06;-6.61705e-05;-6.05526e-06
-4.30042e-06;-4.00189e-05;-6.05428e-06
-4.29936e-06;0.000180257;-6.05331e-06
-4.29875e-06;0.000126613;-6.05233e-06
-4.29782e-06;0.000134623;-6.05135e-06
-4.29697e-06;0.000117412;-6.05038e-06
-4.296e-06;0.000104578;-6.0494e-06
-4.29525e-06;1.64378e-05;-6.04842e-06
-4.2943e-06;7.66572e-05;-6.04745e-06
-4.29335e-06;0.000133058;-6.04647e-06
-4.29261e-06;0.000245413;-6.04549e-06
-4.2919e-06;1.03284e-05;-6.04452e-06
-4.291e-06;0.00019216;-6.04354e-06
-4.29013e-06;0.000241688;-6.04256e-06
-4.28937e-06;0.000179308;-6.04158e-06
-4.28826e-06;0.000125533;-6.04061e-06
-4.28751e-06;3.79141e-05;-6.03963e-06
-4.28665e-06;0.000291308;-6.03865e-06
-4.28572e-06;0.00015798;-6.03768e-06
-4.28504e-06;0.000101412;-6.0367e-06
-4.284e-06;0.000158688;-6.03572e-06
-4.28324e-06;0.00033698;-6.03475e-06
-4.28228e-06;8.07922e-05;-6.03377e-06
-4.28132e-06;-4.04846e-05;-6.03279e-06
-4.28068e-06;0.000160402;-6.03182e-06
-4.27982e-06;0.000179419;-6.03084e-06
-4.27888e-06;0.000164928;-6.02986e-06
-4.27801e-06;6.49784e-05;-6.02889e-06
-4.27737e-06;0.000179363;-6.02791e-06
-4.27635e-06;6.38235e-05;-6.02693e-06
-4.27555e-06;0.000173589;-6.02596e-06
-4.27453e-06;0.000178022;-6.02498e-06
-4.27346e-06;0.000151107;-6.024e-06
