#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=0
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6376
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.49997e-06;0.00133977;-6.15e-06
-4.49936e-06;0.00150335;-6.14902e-06
-4.49852e-06;0.00148159;-6.14805e-06
-4.49796e-06;0.00154714;-6.14707e-06
-4.49677e-06;0.00148297;-6.14609e-06
-4.49595e-06;0.00148169;-6.14512e-06
-4.49549e-06;0.00142747;-6.14414e-06
-4.4945e-06;0.00157806;-6.14316e-06
-4.49328e-06;0.00155677;-6.14219e-06
-4.49223e-06;0.0016258;-6.14121e-06
-4.49139e-06;0.00164603;-6.14023e-06
-4.49101e-06;0.00162945;-6.13926e-06
-4.49008e-06;0.00151695;-6.13828e-06
-4.4894e-06;0.00153187;-6.1373e-06
-4.48904e-06;0.00165504;-6.13633e-06
-4.48752e-06;0.00153036;-6.13535e-06
-4.48668e-06;0.0016176;-6.13437e-06
-4.4861e-06;0.00149378;-6.1334e-06
-4.48456e-06;0.0014235;-6.13242e-06
-4.48388e-06;0.00142504;-6.13144e-06
-4.4834e-06;0.00164538;-6.13047e-06
-4.48217e-06;0.00167291;-6.12949e-06
-4.48145e-06;0.00161669;-6.12851e-06
-4.48074e-06;0.00156139;-6.12754e-06
-4.47932e-06;0.00162103;-6.12656e-06
-4.47856e-06;0.00161023;-6.12558e-06
-4.47805e-06;0.00159792;-6.12461e-06
-4.47656e-06;0.0015696;-6.12363e-06
-4.47614e-06;0.00172983;-6.12265e-06
-4.47542e-06;0.00142322;-6.12167e-06
-4.47419e-06;0.00150749;-6.1207e-06
-4.47347e-06;0.00162716;-6.11972e-06
-4.47285e-06;0.00156051;-6.11874e-06
-4.47161e-06;0.00153991;-6.11777e-06
-4.47108e-06;0.00165519;-6.11679e-06
-4.47043e-06;0.00156672;-6.11581e-06
-4.46874e-06;0.0017742;-6.11484e-06
-4.46841e-06;0.00160641;-6.11386e-06
-4.46759e-06;0.00170524;-6.11288e-06
-4.4663e-06;0.00153755;-6.11191e-06
-4.46589e-06;0.00140832;-6.11093e-06
-4.46487e-06;0.00146386;-6.10995e-06
-4.46359e-06;0.00145278;-6.10898e-06
-4.46289e-06;0.00149022;-6.108e-06
-4.4621e-06;0.00142698;-6.10702e-06
-4.46077e-06;0.00145719;-6.10605e-06
-4.46045e-06;0.00147496;-6.10507e-06
-4.45939e-06;0.00133201;-6.10409e-06
-4.45823e-06;0.00146213;-6.10312e-06
-4.45777e-06;0.00155012;-6.10214e-06
-4.45697e-06;0.00172357;-6.10116e-06
-4.45585e-06;0.00157467;-6.10019e-06
-4.4554e-06;0.00162537;-6.09921e-06
-4.45442e-06;0.00151428;-6.09823e-06
-4.45363e-06;0.00145852;-6.09726e-06
-4.45289e-06;0.00138729;-6.09628e-06
-4.45173e-06;0.00122306;-6.0953e-06
-4.45084e-06;0.00140428;-6.09433e-06
-4.45019e-06;0.00136082;-6.09335e-06
-4.44887e-06;0.00142184;-6.09237e-06
-4.44822e-06;0.00151585;-6.0914e-06
-4.4474e-06;0.00146051;-6.09042e-06
-4.4463e-06;0.00144647;-6.08944e-06
-4.44567e-06;0.00155355;-6.08847e-06
