#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=1
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6329
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.39182e-06;-3.04263e-05;-6.15e-06
-4.39188e-06;2.83588e-05;-6.14902e-06
-4.39091e-06;-0.000106385;-6.14805e-06
-4.39011e-06;7.68248e-05;-6.14707e-06
-4.3895e-06;-0.000135088;-6.14609e-06
-4.38842e-06;7.96188e-05;-6.14512e-06
-4.38775e-06;3.43658e-06;-6.14414e-06
-4.38701e-06;0.000198884;-6.14316e-06
-4.38631e-06;0.000117933;-6.14219e-06
-4.38574e-06;0.000113817;-6.14121e-06
-4.38472e-06;-4.21982e-05;-6.14023e-06
-4.38402e-06;3.78955e-05;-6.13926e-06
-4.38313e-06;0.000105808;-6.13828e-06
-4.38221e-06;-5.23683e-05;-6.1373e-06
-4.38131e-06;1.26008e-05;-6.13633e-06
-4.38072e-06;-0.000196444;-6.13535e-06
-4.37968e-06;-0.000168728;-6.13437e-06
-4.37874e-06;-8.9528e-05;-6.1334e-06
-4.37801e-06;-0.000146693;-6.13242e-06
-4.37719e-06;-0.000177687;-6.13144e-06
-4.37654e-06;-0.000236621;-6.13047e-06
-4.37578e-06;2.42423e-05;-6.12949e-06
-4.37455e-06;-6.42147e-05;-6.12851e-06
-4.37384e-06;8.94908e-05;-6.12754e-06
-4.37328e-06;-1.92132e-05;-6.12656e-06
-4.37222e-06;-0.000202963;-6.12558e-06
-4.37129e-06;-7.31088e-06;-6.12461e-06
-4.37056e-06;-1.81887e-05;-6.12363e-06
-4.36975e-06;9.33278e-05;-6.12265e-06
-4.36893e-06;-2.01818e-05;-6.12168e-06
-4.36813e-06;1.42027e-05;-6.1207e-06
-4.36747e-06;-0.000102753;-6.11972e-06
-4.3667e-06;-2.58815e-05;-6.11875e-06
-4.36588e-06;-8.71997e-05;-6.11777e-06
-4.36503e-06;7.03149e-06;-6.11679e-06
-4.36441e-06;-9.08319e-05;-6.11582e-06
-4.36323e-06;9.24803e-06;-6.11484e-06
-4.36224e-06;-4.62774e-05;-6.11386e-06
-4.36126e-06;3.35369e-05;-6.11289e-06
-4.36028e-06;-0.000142297;-6.11191e-06
-4.35964e-06;-0.000187671;-6.11093e-06
-4.35906e-06;-0.000136467;-6.10996e-06
-4.35768e-06;-0.000120578;-6.10898e-06
-4.35717e-06;-7.20005e-05;-6.108e-06
-4.35655e-06;-0.000269981;-6.10703e-06
-4.35564e-06;-0.00028451;-6.10605e-06
-4.35483e-06;-8.18912e-05;-6.10507e-06
-4.35422e-06;-0.000191452;-6.1041e-06
-4.35309e-06;-0.000188341;-6.10312e-06
-4.35221e-06;-0.000144811;-6.10214e-06
-4.35131e-06;-0.000312189;-6.10117e-06
-4.35096e-06;-0.000301125;-6.10019e-06
-4.34991e-06;-0.000271229;-6.09921e-06
-4.34885e-06;-0.000284472;-6.09824e-06
-4.34789e-06;-0.000305371;-6.09726e-06
-4.3472e-06;-7.03614e-05;-6.09628e-06
-4.34641e-06;-0.000234535;-6.09531e-06
-4.34533e-06;-7.19447e-05;-6.09433e-06
-4.34459e-06;-8.62498e-05;-6.09335e-06
-4.3437e-06;2.86009e-05;-6.09238e-06
-4.34281e-06;9.43337e-05;-6.0914e-06
-4.34205e-06;9.96608e-05;-6.09042e-06
-4.34096e-06;-7.92276e-05;-6.08945e-06
-4.34035e-06;1.03656e-05;-6.08847e-06
-4.33965e-06;-7.49715e-06;-6.08749e-06
-4.33872e-06;2.9942e-05;-6.08652e-06
-4.33793e-06;-2.04425e-05;-6.08554e-06
-4.33701e-06;-5.53858e-05;-6.08456e-06
-4.3363e-06;-6.16629e-05;-6.08359e-06
-4.33556e-06;-4.68548e-05;-6.08261e-06
-4.33457e-06;5.48642e-05;-6.08163e-06
-4.33355e-06;-7.47759e-05;-6.08066e-06
-4.33296e-06;3.34345e-06;-6.07968e-06
-4.33206e-06;-2.74088e-05;-6.0787e-06
-4.33149e-06;-6.83311e-05;-6.07773e-06
-4.33025e-06;-4.06988e-06;-6.07675e-06
-4.32956e-06;-1.02539e-05;-6.07577e-06
-4.32851e-06;7.0082e-05;-6.0748e-06
-4.32795e-06;3.9367e-05;-6.07382e-06
-4.32693e-06;0.000222353;-6.07284e-06
-4.32596e-06;-1.27312e-05;-6.07187e-06
-4.32511e-06;0.000115642;-6.07089e-06
-4.32453e-06;9.58797e-05;-6.06991e-06
-4.32348e-06;0.000168541;-6.06894e-06
-4.32266e-06;0.000137994;-6.06796e-06
-4.32174e-06;-3.23821e-05;-6.06698e-06
-4.32098e-06;6.41774e-05;-6.066e-06
-4.32006e-06;0.000166399;-6.06503e-06
-4.31892e-06;6.85547e-05;-6.06405e-06
-4.31794e-06;9.90462e-05;-6.06307e-06
-4.31753e-06;0.000100723;-6.0621e-06
-4.3164e-06;4.49829e-06;-6.06112e-06
-4.31576e-06;5.6969e-05;-6.06014e-06
-4.31501e-06;0.000168337;-6.05917e-06
-4.31375e-06;0.000198772;-6.05819e-06
-4.31318e-06;0.000172732;-6.05721e-06
-4.31235e-06;0.00020911;-6.05624e-06
-4.31143e-06;0.000147438;-6.05526e-06
-4.31074e-06;0.000151889;-6.05428e-06
-4.30986e-06;0.000250293;-6.05331e-06
-4.30872e-06;0.000168951;-6.05233e-06
-4.30813e-06;0.000220081;-6.05135e-06
-4.30696e-06;-3.27732e-05;-6.05038e-06
-4.30598e-06;0.000142874;-6.0494e-06
-4.30541e-06;-4.61005e-06;-6.04842e-06
-4.30451e-06;0.000125235;-6.04745e-06
-4.30363e-06;1.02352e-05;-6.04647e-06
-4.30277e-06;0.000130935;-6.04549e-06
-4.302e-06;0.000132555;-6.04452e-06
-4.30125e-06;-4.82891e-05;-6.04354e-06
-4.30051e-06;7.64709e-05;-6.04256e-06
-4.29941e-06;0.000152206;-6.04159e-06
-4.2986e-06;5.49201e-05;-6.04061e-06
-4.29797e-06;-6.87595e-05;-6.03963e-06
-4.29719e-06;9.0776e-05;-6.03866e-06
-4.29636e-06;-5.39515e-05;-6.03768e-06
-4.29558e-06;3.50084e-05;-6.0367e-06
-4.29481e-06;-4.59049e-05;-6.03573e-06
-4.29393e-06;-4.8345e-05;-6.03475e-06
-4.293e-06;0.000109756;-6.03377e-06
-4.29201e-06;-7.7216e-05;-6.0328e-06
-4.291e-06;-0.000164965;-6.03182e-06
-4.29009e-06;-6.80145e-05;-6.03084e-06
-4.28897e-06;-6.47921e-05;-6.02987e-06
-4.28819e-06;3.88268e-05;-6.02889e-06
-4.28738e-06;-2.76696e-05;-6.02791e-06
-4.28675e-06;0.000126129;-6.02694e-06
-4.28589e-06;-5.20609e-06;-6.02596e-06
-4.28484e-06;3.91062e-05;-6.02498e-06
-4.28418e-06;0.000212612;-6.02401e-06
-4.28334e-06;0.000105081;-6.02303e-06
-4.28228e-06;-4.40981e-05;-6.02205e-06
-4.28134e-06;9.82545e-06;-6.02108e-06
-4.28053e-06;7.55303e-06;-6.0201e-06
-4.27963e-06;5.42495e-05;-6.01912e-06
-4.27875e-06;9.31043e-05;-6.01815e-06
