#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=8
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6633
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.36554e-06;-6.14207e-05;-6.15e-06
-4.36483e-06;-9.68296e-05;-6.14902e-06
-4.36431e-06;-0.000110017;-6.14805e-06
-4.36342e-06;4.42658e-05;-6.14707e-06
-4.36268e-06;1.09617e-05;-6.14609e-06
-4.36163e-06;-3.17488e-05;-6.14512e-06
-4.36103e-06;5.7118e-05;-6.14414e-06
-4.36048e-06;-8.16677e-05;-6.14316e-06
-4.35936e-06;0.000140453;-6.14219e-06
-4.35855e-06;1.00117e-05;-6.14121e-06
-4.3576e-06;8.52253e-05;-6.14023e-06
-4.35682e-06;5.66337e-05;-6.13926e-06
-4.35619e-06;0.000173757;-6.13828e-06
-4.35508e-06;3.0091e-05;-6.1373e-06
-4.35418e-06;5.24055e-05;-6.13633e-06
-4.35393e-06;0.000101356;-6.13535e-06
-4.35284e-06;-6.81076e-05;-6.13437e-06
-4.35201e-06;0.000107111;-6.1334e-06
-4.35157e-06;0.000103218;-6.13242e-06
-4.35047e-06;0.000124509;-6.13144e-06
-4.34979e-06;-7.85012e-05;-6.13047e-06
-4.34907e-06;3.45986e-05;-6.12949e-06
-4.34824e-06;1.77976e-05;-6.12851e-06
-4.34737e-06;-8.46107e-05;-6.12753e-06
-4.34655e-06;1.4035e-05;-6.12656e-06
-4.34566e-06;-5.03939e-05;-6.12558e-06
-4.34475e-06;0.000135312;-6.1246e-06
-4.34424e-06;9.64757e-05;-6.12363e-06
-4.34318e-06;1.88034e-05;-6.12265e-06
-4.34233e-06;-7.25035e-05;-6.12167e-06
-4.34151e-06;8.74512e-06;-6.1207e-06
-4.3407e-06;-2.9048e-05;-6.11972e-06
-4.33984e-06;8.58959e-05;-6.11874e-06
-4.33895e-06;-7.89668e-05;-6.11777e-06
-4.33817e-06;8.85222e-05;-6.11679e-06
-4.33761e-06;8.61567e-05;-6.11581e-06
-4.33659e-06;0.000138981;-6.11484e-06
-4.33576e-06;5.74905e-05;-6.11386e-06
-4.33513e-06;8.03266e-05;-6.11288e-06
-4.33422e-06;8.52812e-05;-6.11191e-06
-4.33349e-06;4.74695e-05;-6.11093e-06
-4.33244e-06;5.63543e-05;-6.10995e-06
-4.33156e-06;-5.83474e-05;-6.10898e-06
-4.3306e-06;-1.81608e-06;-6.108e-06
-4.32977e-06;-1.26008e-05;-6.10702e-06
-4.32907e-06;-1.95298e-05;-6.10605e-06
-4.32802e-06;9.63639e-05;-6.10507e-06
-4.3274e-06;0.000137063;-6.10409e-06
-4.32657e-06;0.000132574;-6.10312e-06
-4.32535e-06;0.000162339;-6.10214e-06
-4.32468e-06;0.000228817;-6.10116e-06
-4.32392e-06;0.000233864;-6.10019e-06
-4.32301e-06;8.14255e-05;-6.09921e-06
-4.32221e-06;0.000115735;-6.09823e-06
-4.32159e-06;2.10013e-05;-6.09726e-06
-4.32066e-06;0.000208253;-6.09628e-06
-4.31982e-06;0.000233622;-6.0953e-06
-4.31885e-06;0.000167945;-6.09433e-06
-4.31802e-06;0.000172509;-6.09335e-06
-4.31686e-06;0.000231182;-6.09237e-06
-4.31619e-06;0.000217417;-6.0914e-06
-4.31554e-06;0.000310903;-6.09042e-06
-4.31486e-06;0.000324314;-6.08944e-06
-4.31403e-06;0.00034702;-6.08847e-06
-4.31293e-06;0.000292799;-6.08749e-06
-4.31202e-06;0.000247294;-6.08651e-06
-4.31129e-06;0.000351286;-6.08554e-06
-4.3103e-06;0.000269758;-6.08456e-06
-4.30955e-06;0.000133878;-6.08358e-06
-4.30863e-06;0.000211643;-6.0826e-06
-4.30796e-06;0.0002567;-6.08163e-06
-4.30683e-06;0.00014198;-6.08065e-06
-4.30607e-06;0.000247089;-6.07967e-06
-4.30505e-06;0.000272812;-6.0787e-06
-4.30417e-06;7.3025e-05;-6.07772e-06
-4.30323e-06;0.000151908;-6.07674e-06
-4.30291e-06;7.9507e-05;-6.07577e-06
-4.30182e-06;-1.58045e-05;-6.07479e-06
-4.30125e-06;3.78583e-05;-6.07381e-06
-4.30029e-06;0.000115382;-6.07284e-06
-4.29933e-06;0.000198754;-6.07186e-06
-4.29846e-06;0.000172732;-6.07088e-06
-4.29763e-06;0.000216691;-6.06991e-06
-4.29685e-06;6.28922e-05;-6.06893e-06
-4.29597e-06;0.000205683;-6.06795e-06
-4.2951e-06;0.000120392;-6.06698e-06
-4.29427e-06;0.000238614;-6.066e-06
-4.2933e-06;0.000295499;-6.06502e-06
-4.29292e-06;0.000282349;-6.06405e-06
-4.29178e-06;0.000266535;-6.06307e-06
-4.29108e-06;0.000282591;-6.06209e-06
-4.2902e-06;0.000199201;-6.06112e-06
-4.28953e-06;0.000200598;-6.06014e-06
-4.28859e-06;0.000248896;-6.05916e-06
-4.2879e-06;0.000163326;-6.05819e-06
-4.28698e-06;0.000314983;-6.05721e-06
-4.2861e-06;0.000222204;-6.05623e-06
-4.28502e-06;0.000167685;-6.05526e-06
-4.2842e-06;0.000198139;-6.05428e-06
-4.28341e-06;0.000149449;-6.0533e-06
-4.28238e-06;0.000137771;-6.05233e-06
-4.28151e-06;0.0001965;-6.05135e-06
-4.28086e-06;0.000181897;-6.05037e-06
-4.27999e-06;0.000143005;-6.0494e-06
-4.27896e-06;0.000274433;-6.04842e-06
-4.27805e-06;0.000324724;-6.04744e-06
-4.27719e-06;0.000398466;-6.04647e-06
-4.27639e-06;0.000181859;-6.04549e-06
-4.27538e-06;0.000209613;-6.04451e-06
-4.27474e-06;0.000198027;-6.04354e-06
-4.27366e-06;0.000335341;-6.04256e-06
-4.27266e-06;0.000320384;-6.04158e-06
-4.27195e-06;0.000308184;-6.04061e-06
-4.27103e-06;0.000284379;-6.03963e-06
-4.27043e-06;0.000259401;-6.03865e-06
-4.2695e-06;0.000219373;-6.03767e-06
-4.26867e-06;0.000406252;-6.0367e-06
-4.26753e-06;0.00040899;-6.03572e-06
-4.26691e-06;0.000328505;-6.03474e-06
-4.26605e-06;0.000455519;-6.03377e-06
-4.26485e-06;0.000318838;-6.03279e-06
-4.26419e-06;0.000347542;-6.03181e-06
-4.26322e-06;0.000236696;-6.03084e-06
-4.26245e-06;0.000366578;-6.02986e-06
-4.26152e-06;0.000223638;-6.02888e-06
-4.26075e-06;0.00035082;-6.02791e-06
-4.25992e-06;0.000249436;-6.02693e-06
-4.25898e-06;0.000286223;-6.02595e-06
-4.25793e-06;0.000300994;-6.02498e-06
-4.25707e-06;0.0003519;-6.024e-06
-4.25629e-06;0.000231909;-6.02302e-06
-4.2552e-06;0.000382727;-6.02205e-06
-4.25461e-06;0.000197468;-6.02107e-06
-4.253e-06;0.000234293;-6.02009e-06
-4.2523e-06;0.000304626;-6.01912e-06
-4.2512e-06;0.000397665;-6.01814e-06
-4.25006e-06;0.000434732;-6.01716e-06
-4.24964e-06;0.00028058;-6.01619e-06
-4.24887e-06;0.000352031;-6.01521e-06
-4.24777e-06;0.000278438;-6.01423e-06
-4.24738e-06;0.00025901;-6.01326e-06
-4.24615e-06;0.000196872;-6.01228e-06
-4.24535e-06;0.000243736;-6.0113e-06
-4.24488e-06;0.000313455;-6.01033e-06
-4.24394e-06;0.00034499;-6.00935e-06
-4.2431e-06;0.000283169;-6.00837e-06
-4.2425e-06;0.000245897;-6.0074e-06
-4.24143e-06;0.000240402;-6.00642e-06
-4.24049e-06;0.00022064;-6.00544e-06
-4.23978e-06;0.000278102;-6.00447e-06
-4.2387e-06;0.000359798;-6.00349e-06
-4.23775e-06;0.000308948;-6.00251e-06
-4.23711e-06;0.000252398;-6.00154e-06
-4.2363e-06;0.000271881;-6.00056e-06
-4.235e-06;0.000163345;-5.99958e-06
-4.23416e-06;0.000153882;-5.99861e-06
-4.23323e-06;0.000294382;-5.99763e-06
-4.23235e-06;0.000248617;-5.99665e-06
-4.23165e-06;0.000394108;-5.99568e-06
-4.23044e-06;0.000427281;-5.9947e-06
-4.22988e-06;0.000261245;-5.99372e-06
-4.22868e-06;0.000314163;-5.99274e-06
-4.22792e-06;0.000342382;-5.99177e-06
-4.22739e-06;0.000417056;-5.99079e-06
-4.22624e-06;0.000328729;-5.98981e-06
-4.22549e-06;0.000267243;-5.98884e-06
-4.22447e-06;0.000180071;-5.98786e-06
-4.22343e-06;0.000253012;-5.98688e-06
-4.22303e-06;0.000370676;-5.98591e-06
-4.22222e-06;0.000249064;-5.98493e-06
-4.22117e-06;0.000346573;-5.98395e-06
-4.22007e-06;0.000414653;-5.98298e-06
-4.21913e-06;0.000456078;-5.982e-06
-4.21822e-06;0.000530286;-5.98102e-06
-4.21741e-06;0.000496348;-5.98005e-06
-4.21627e-06;0.000496497;-5.97907e-06
-4.21521e-06;0.000446448;-5.97809e-06
-4.21472e-06;0.000435924;-5.97712e-06
-4.21386e-06;0.000546435;-5.97614e-06
-4.21263e-06;0.000540772;-5.97516e-06
-4.21182e-06;0.00052073;-5.97419e-06
-4.21101e-06;0.000464832;-5.97321e-06
-4.20987e-06;0.000429964;-5.97223e-06
-4.20909e-06;0.000498714;-5.97126e-06
-4.20822e-06;0.000474984;-5.97028e-06
-4.20724e-06;0.000287676;-5.9693e-06
-4.20679e-06;0.000336757;-5.96833e-06
-4.20567e-06;0.000382224;-5.96735e-06
-4.20497e-06;0.000308724;-5.96637e-06
-4.20394e-06;0.000447808;-5.9654e-06
-4.20296e-06;0.000376804;-5.96442e-06
-4.20191e-06;0.000596652;-5.96344e-06
-4.20116e-06;0.000523152;-5.96247e-06
-4.20018e-06;0.00051097;-5.96149e-06
-4.19938e-06;0.000358419;-5.96051e-06
-4.19844e-06;0.000496199;-5.95954e-06
-4.19733e-06;0.000500092;-5.95856e-06
-4.1965e-06;0.000383882;-5.95758e-06
-4.19567e-06;0.000275718;-5.95661e-06
-4.19479e-06;0.000314685;-5.95563e-06
-4.19395e-06;0.000504171;-5.95465e-06
-4.19332e-06;0.00048385;-5.95368e-06
-4.19215e-06;0.000616191;-5.9527e-06
-4.19161e-06;0.000663223;-5.95172e-06
-4.19037e-06;0.00055044;-5.95075e-06
-4.18958e-06;0.000610845;-5.94977e-06
-4.1885e-06;0.000481782;-5.94879e-06
-4.18791e-06;0.000602053;-5.94781e-06
-4.18682e-06;0.000441326;-5.94684e-06
-4.18601e-06;0.000576647;-5.94586e-06
-4.18484e-06;0.000643982;-5.94488e-06
-4.1838e-06;0.000527455;-5.94391e-06
-4.18286e-06;0.000639921;-5.94293e-06
-4.18183e-06;0.000659646;-5.94195e-06
-4.18117e-06;0.000650017;-5.94098e-06
-4.18011e-06;0.000688462;-5.94e-06
-4.17928e-06;0.000849711;-5.93902e-06
-4.17824e-06;0.00085135;-5.93805e-06
-4.17721e-06;0.000763638;-5.93707e-06
-4.17653e-06;0.000790553;-5.93609e-06
-4.17576e-06;0.000725994;-5.93512e-06
-4.17463e-06;0.000709696;-5.93414e-06
-4.17344e-06;0.000614868;-5.93316e-06
-4.17289e-06;0.000556419;-5.93219e-06
-4.17217e-06;0.000622859;-5.93121e-06
-4.17114e-06;0.000593802;-5.93023e-06
-4.17026e-06;0.000646459;-5.92926e-06
-4.1691e-06;0.000682855;-5.92828e-06
-4.16828e-06;0.000578621;-5.9273e-06
-4.16736e-06;0.000402266;-5.92633e-06
-4.16639e-06;0.000827769;-5.92535e-06
-4.16533e-06;0.000699377;-5.92437e-06
-4.16442e-06;0.00064441;-5.9234e-06
-4.1636e-06;0.000631893;-5.92242e-06
-4.16245e-06;0.000693714;-5.92144e-06
-4.16156e-06;0.000821045;-5.92047e-06
-4.1607e-06;0.000667805;-5.91949e-06
-4.15986e-06;0.000789436;-5.91851e-06
-4.15873e-06;0.000727298;-5.91754e-06
-4.15788e-06;0.000724299;-5.91656e-06
-4.15697e-06;0.000776118;-5.91558e-06
-4.15607e-06;0.000861315;-5.91461e-06
-4.15504e-06;0.000856677;-5.91363e-06
-4.15431e-06;0.00088443;-5.91265e-06
-4.1532e-06;0.000779619;-5.91168e-06
-4.15239e-06;0.000776155;-5.9107e-06
-4.15128e-06;0.000787536;-5.90972e-06
-4.15042e-06;0.00104287;-5.90875e-06
-4.14955e-06;0.000852654;-5.90777e-06
-4.14854e-06;0.000879383;-5.90679e-06
-4.1477e-06;0.000807578;-5.90581e-06
-4.14687e-06;0.000769077;-5.90484e-06
-4.14581e-06;0.000771405;-5.90386e-06
-4.14518e-06;0.00101139;-5.90288e-06
-4.1439e-06;0.000800239;-5.90191e-06
-4.14291e-06;0.000825627;-5.90093e-06
-4.14222e-06;0.000798693;-5.89995e-06
