#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00031_20241104.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=5e-09m/V
#SpecMode=Map
#SpecMap-Dim=-1e-05;1e-05;-1e-05;1e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=0
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=10240
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-2.73543e-06;0.00893261;-3.85016e-06
-2.73437e-06;0.00898972;-3.84918e-06
-2.73329e-06;0.0088891;-3.84821e-06
-2.73234e-06;0.00890177;-3.84723e-06
-2.73147e-06;0.0090524;-3.84625e-06
-2.73e-06;0.00902161;-3.84528e-06
-2.72894e-06;0.00904746;-3.8443e-06
-2.72811e-06;0.00907948;-3.84332e-06
-2.72696e-06;0.00908118;-3.84235e-06
-2.72602e-06;0.00920141;-3.84137e-06
-2.72491e-06;0.00925258;-3.84039e-06
-2.72357e-06;0.00922823;-3.83942e-06
-2.72269e-06;0.00916461;-3.83844e-06
-2.72152e-06;0.00912201;-3.83746e-06
-2.72055e-06;0.0091951;-3.83649e-06
-2.71955e-06;0.00918685;-3.83551e-06
-2.71807e-06;0.00907723;-3.83453e-06
-2.71697e-06;0.00904579;-3.83356e-06
-2.71622e-06;0.00917917;-3.83258e-06
-2.71499e-06;0.00920234;-3.8316e-06
-2.71431e-06;0.00923513;-3.83063e-06
-2.71309e-06;0.00930755;-3.82965e-06
-2.71177e-06;0.00912303;-3.82867e-06
-2.71102e-06;0.00943162;-3.8277e-06
-2.7094e-06;0.0092846;-3.82672e-06
-2.70848e-06;0.00911871;-3.82574e-06
-2.7076e-06;0.00930237;-3.82477e-06
-2.706e-06;0.0091924;-3.82379e-06
-2.70527e-06;0.00913724;-3.82281e-06
-2.70433e-06;0.00920085;-3.82184e-06
-2.70316e-06;0.00905274;-3.82086e-06
-2.70189e-06;0.00922956;-3.81988e-06
-2.70134e-06;0.00930429;-3.81891e-06
-2.69992e-06;0.00948014;-3.81793e-06
-2.69873e-06;0.00942348;-3.81695e-06
-2.69762e-06;0.00940841;-3.81598e-06
-2.6963e-06;0.00927188;-3.815e-06
-2.69541e-06;0.00939595;-3.81402e-06
-2.69462e-06;0.00936657;-3.81305e-06
-2.69355e-06;0.00929698;-3.81207e-06
-2.69236e-06;0.00938041;-3.81109e-06
-2.69112e-06;0.00948265;-3.81012e-06
-2.69012e-06;0.00938675;-3.80914e-06
-2.68888e-06;0.00933958;-3.80816e-06
-2.68804e-06;0.00951627;-3.80719e-06
-2.68692e-06;0.00947801;-3.80621e-06
-2.68594e-06;0.00952201;-3.80523e-06
-2.68477e-06;0.0094296;-3.80426e-06
-2.68358e-06;0.00957789;-3.80328e-06
-2.68276e-06;0.00953272;-3.8023e-06
-2.6815e-06;0.00960359;-3.80133e-06
-2.68049e-06;0.00954453;-3.80035e-06
-2.67942e-06;0.00943832;-3.79937e-06
-2.67836e-06;0.00943661;-3.7984e-06
-2.67716e-06;0.00940524;-3.79742e-06
-2.67625e-06;0.00932677;-3.79644e-06
-2.67491e-06;0.00926575;-3.79547e-06
-2.67382e-06;0.00949042;-3.79449e-06
-2.67297e-06;0.00944866;-3.79351e-06
-2.67199e-06;0.00932591;-3.79254e-06
-2.67079e-06;0.00937829;-3.79156e-06
-2.66982e-06;0.00934716;-3.79058e-06
-2.6687e-06;0.00928717;-3.78961e-06
-2.66784e-06;0.00926722;-3.78863e-06
-2.66663e-06;0.00935154;-3.78765e-06
-2.66528e-06;0.00950236;-3.78668e-06
-2.66415e-06;0.00935437;-3.7857e-06
