#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00031_20241104.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=5e-09m/V
#SpecMode=Map
#SpecMap-Dim=-1e-05;1e-05;-1e-05;1e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=7
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=10240
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-1.78882e-06;0.000153986;-3.85e-06
-1.78843e-06;3.51117e-05;-3.84902e-06
-1.78796e-06;-6.1038e-05;-3.84805e-06
-1.7873e-06;0.000297484;-3.84707e-06
-1.78639e-06;0.000452419;-3.84609e-06
-1.7858e-06;7.26813e-05;-3.84512e-06
-1.78525e-06;0.000287519;-3.84414e-06
-1.78409e-06;0.000189022;-3.84316e-06
-1.78312e-06;0.000255612;-3.84219e-06
-1.78254e-06;0.000157823;-3.84121e-06
-1.78165e-06;0.000184906;-3.84023e-06
-1.78036e-06;0.000235905;-3.83926e-06
-1.78011e-06;0.00017671;-3.83828e-06
-1.7791e-06;0.000389964;-3.8373e-06
-1.77839e-06;0.000453853;-3.83633e-06
-1.77774e-06;0.000234676;-3.83535e-06
-1.77687e-06;0.00026554;-3.83437e-06
-1.77595e-06;0.00023922;-3.8334e-06
-1.77519e-06;0.000223649;-3.83242e-06
-1.77447e-06;0.000286532;-3.83144e-06
-1.77373e-06;0.000186377;-3.83047e-06
-1.77256e-06;0.000152756;-3.82949e-06
-1.77199e-06;0.00047302;-3.82851e-06
-1.77115e-06;0.000294317;-3.82754e-06
-1.77004e-06;0.000396986;-3.82656e-06
-1.76946e-06;0.000360106;-3.82558e-06
-1.76868e-06;0.000387636;-3.82461e-06
-1.76754e-06;0.000539199;-3.82363e-06
-1.76695e-06;0.000467618;-3.82265e-06
-1.76626e-06;0.000413676;-3.82168e-06
-1.76519e-06;0.000436773;-3.8207e-06
-1.76461e-06;0.00031775;-3.81972e-06
-1.76372e-06;0.000424963;-3.81875e-06
-1.76273e-06;0.000438672;-3.81777e-06
-1.76164e-06;0.000617542;-3.81679e-06
-1.7611e-06;0.000287444;-3.81582e-06
-1.76016e-06;0.000382756;-3.81484e-06
-1.75931e-06;0.000496563;-3.81386e-06
-1.75872e-06;0.000497066;-3.81289e-06
-1.75748e-06;0.000769851;-3.81191e-06
-1.75686e-06;0.000484419;-3.81093e-06
-1.75652e-06;0.000332036;-3.80996e-06
-1.75546e-06;0.000527372;-3.80898e-06
-1.75465e-06;0.000324138;-3.808e-06
-1.75398e-06;0.000452978;-3.80703e-06
-1.75324e-06;0.000550114;-3.80605e-06
-1.75214e-06;0.000778363;-3.80507e-06
-1.75098e-06;0.000554175;-3.8041e-06
-1.75036e-06;0.000500475;-3.80312e-06
-1.74978e-06;0.000333582;-3.80214e-06
-1.74889e-06;0.000600499;-3.80117e-06
-1.74808e-06;0.000605267;-3.80019e-06
-1.74713e-06;0.000666511;-3.79921e-06
-1.74649e-06;0.00067711;-3.79824e-06
-1.74563e-06;0.000686181;-3.79726e-06
-1.74461e-06;0.000800286;-3.79628e-06
-1.74373e-06;0.000567772;-3.79531e-06
-1.74282e-06;0.000717734;-3.79433e-06
-1.74235e-06;0.000755154;-3.79335e-06
-1.74112e-06;0.000691247;-3.79238e-06
-1.74066e-06;0.000907742;-3.7914e-06
-1.7395e-06;0.000690502;-3.79042e-06
-1.73838e-06;0.000809041;-3.78945e-06
-1.73784e-06;0.000849721;-3.78847e-06
-1.73696e-06;0.00082126;-3.78749e-06
-1.73584e-06;0.00084946;-3.78652e-06
-1.73562e-06;0.000861996;-3.78554e-06
-1.73416e-06;0.000803397;-3.78456e-06
-1.73362e-06;0.0007898;-3.78359e-06
-1.73296e-06;0.0008302;-3.78261e-06
-1.73196e-06;0.0008633;-3.78163e-06
-1.73091e-06;0.00086384;-3.78066e-06
-1.73023e-06;0.000755322;-3.77968e-06
-1.72954e-06;0.000899062;-3.7787e-06
-1.72816e-06;0.000968502;-3.77773e-06
-1.72751e-06;0.000851528;-3.77675e-06
-1.72712e-06;0.000925326;-3.77577e-06
-1.72608e-06;0.000870881;-3.7748e-06
-1.72518e-06;0.000850205;-3.77382e-06
-1.72424e-06;0.0008199;-3.77284e-06
-1.72319e-06;0.00104005;-3.77187e-06
-1.72239e-06;0.000894555;-3.77089e-06
-1.72161e-06;0.000979342;-3.76991e-06
-1.72079e-06;0.0009349;-3.76894e-06
-1.71957e-06;0.00105547;-3.76796e-06
-1.71905e-06;0.000837632;-3.76698e-06
-1.71847e-06;0.000918378;-3.76601e-06
-1.71714e-06;0.000991133;-3.76503e-06
-1.71642e-06;0.000859314;-3.76405e-06
-1.71577e-06;0.00107115;-3.76308e-06
-1.71478e-06;0.000869744;-3.7621e-06
-1.71377e-06;0.000958537;-3.76112e-06
-1.71302e-06;0.000949466;-3.76015e-06
-1.71233e-06;0.000802;-3.75917e-06
-1.71142e-06;0.000911673;-3.75819e-06
-1.71055e-06;0.000876357;-3.75722e-06
-1.70985e-06;0.000871216;-3.75624e-06
-1.70895e-06;0.000776519;-3.75526e-06
-1.70773e-06;0.00105836;-3.75429e-06
-1.70679e-06;0.000870564;-3.75331e-06
-1.70598e-06;0.000967906;-3.75233e-06
-1.70516e-06;0.00116926;-3.75136e-06
-1.70426e-06;0.000883565;-3.75038e-06
-1.70352e-06;0.00107532;-3.7494e-06
-1.70249e-06;0.00106752;-3.74843e-06
-1.70171e-06;0.00100497;-3.74745e-06
-1.70068e-06;0.00107808;-3.74647e-06
-1.70018e-06;0.00121994;-3.7455e-06
-1.6991e-06;0.00119837;-3.74452e-06
-1.6979e-06;0.00119118;-3.74354e-06
-1.6974e-06;0.00112997;-3.74257e-06
-1.69649e-06;0.00112141;-3.74159e-06
-1.69573e-06;0.00111772;-3.74061e-06
-1.69461e-06;0.000849628;-3.73964e-06
-1.69388e-06;0.000984725;-3.73866e-06
-1.69301e-06;0.000934434;-3.73768e-06
-1.69197e-06;0.00111194;-3.73671e-06
-1.69126e-06;0.0010399;-3.73573e-06
-1.69038e-06;0.00125146;-3.73475e-06
-1.68939e-06;0.00107771;-3.73378e-06
-1.68858e-06;0.00116641;-3.7328e-06
-1.68763e-06;0.0011231;-3.73182e-06
-1.68654e-06;0.00124635;-3.73085e-06
-1.68597e-06;0.00127966;-3.72987e-06
-1.68472e-06;0.00119543;-3.72889e-06
-1.68412e-06;0.00128273;-3.72792e-06
-1.68308e-06;0.00107899;-3.72694e-06
-1.68191e-06;0.00119139;-3.72596e-06
-1.68135e-06;0.00119677;-3.72499e-06
-1.68034e-06;0.00135247;-3.72401e-06
-1.67932e-06;0.0013257;-3.72303e-06
-1.67821e-06;0.00132436;-3.72206e-06
-1.67772e-06;0.00137197;-3.72108e-06
-1.67673e-06;0.00155611;-3.7201e-06
-1.67586e-06;0.0014662;-3.71913e-06
-1.67511e-06;0.00142017;-3.71815e-06
-1.67423e-06;0.00143379;-3.71717e-06
-1.67316e-06;0.00130514;-3.7162e-06
-1.67245e-06;0.00145091;-3.71522e-06
-1.67116e-06;0.00148006;-3.71424e-06
-1.67062e-06;0.00143096;-3.71327e-06
-1.66982e-06;0.00148289;-3.71229e-06
-1.66898e-06;0.00147818;-3.71131e-06
-1.66802e-06;0.00145108;-3.71034e-06
-1.66734e-06;0.00165042;-3.70936e-06
-1.66615e-06;0.00159759;-3.70838e-06
-1.66532e-06;0.00162015;-3.70741e-06
-1.66444e-06;0.00138451;-3.70643e-06
-1.6638e-06;0.00140717;-3.70545e-06
-1.6625e-06;0.00138834;-3.70448e-06
-1.66153e-06;0.00113707;-3.7035e-06
-1.66092e-06;0.00125196;-3.70252e-06
-1.6597e-06;0.00120243;-3.70155e-06
-1.6589e-06;0.00139725;-3.70057e-06
-1.65801e-06;0.00137808;-3.69959e-06
-1.65683e-06;0.00147332;-3.69862e-06
-1.65617e-06;0.00141334;-3.69764e-06
-1.65531e-06;0.00129871;-3.69666e-06
-1.65427e-06;0.00143178;-3.69569e-06
