#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00031_20241104.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=5e-09m/V
#SpecMode=Map
#SpecMap-Dim=-1e-05;1e-05;-1e-05;1e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=4
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=10240
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-1.82045e-06;-0.000108908;-3.85e-06
-1.81982e-06;4.80757e-05;-3.84902e-06
-1.81897e-06;2.48299e-05;-3.84805e-06
-1.81872e-06;-1.93893e-05;-3.84707e-06
-1.81762e-06;0.000105985;-3.84609e-06
-1.81687e-06;0.000218489;-3.84512e-06
-1.81618e-06;0.000229572;-3.84414e-06
-1.81537e-06;0.000141841;-3.84316e-06
-1.81434e-06;0.000189246;-3.84219e-06
-1.81343e-06;0.000138991;-3.84121e-06
-1.81288e-06;0.00010904;-3.84023e-06
-1.81206e-06;8.73776e-05;-3.83926e-06
-1.81155e-06;0.000304208;-3.83828e-06
-1.81059e-06;6.46533e-05;-3.8373e-06
-1.80978e-06;-9.654e-05;-3.83633e-06
-1.80865e-06;7.34263e-05;-3.83535e-06
-1.80824e-06;0.000341256;-3.83437e-06
-1.80743e-06;0.000217185;-3.8334e-06
-1.80667e-06;0.000180026;-3.83242e-06
-1.8056e-06;0.000147001;-3.83144e-06
-1.80477e-06;0.000141394;-3.83047e-06
-1.80403e-06;0.000189134;-3.82949e-06
-1.80307e-06;0.000311808;-3.82851e-06
-1.80247e-06;0.000407939;-3.82754e-06
-1.80174e-06;0.00033198;-3.82656e-06
-1.80074e-06;0.000137278;-3.82558e-06
-1.80042e-06;0.000116789;-3.82461e-06
-1.79923e-06;0.000333787;-3.82363e-06
-1.79821e-06;0.000510217;-3.82265e-06
-1.79777e-06;0.000530929;-3.82168e-06
-1.79658e-06;0.000602213;-3.8207e-06
-1.79597e-06;0.000455939;-3.81972e-06
-1.79528e-06;0.000467543;-3.81875e-06
-1.79433e-06;0.000513514;-3.81777e-06
-1.79356e-06;0.000529365;-3.81679e-06
-1.79242e-06;0.000406411;-3.81582e-06
-1.79179e-06;0.000480154;-3.81484e-06
-1.79118e-06;0.000500475;-3.81386e-06
-1.7902e-06;0.000465942;-3.81289e-06
-1.78938e-06;0.000582636;-3.81191e-06
-1.78862e-06;0.000515544;-3.81093e-06
-1.78757e-06;0.000655708;-3.80996e-06
-1.78682e-06;0.000668821;-3.80898e-06
-1.78594e-06;0.000486896;-3.808e-06
-1.78515e-06;0.000519195;-3.80703e-06
-1.78436e-06;0.000738763;-3.80605e-06
-1.78338e-06;0.000597873;-3.80507e-06
-1.78272e-06;0.000664388;-3.8041e-06
-1.78161e-06;0.000520312;-3.80312e-06
-1.7812e-06;0.000598804;-3.80214e-06
-1.78017e-06;0.000808948;-3.80117e-06
-1.77927e-06;0.000702665;-3.80019e-06
-1.77881e-06;0.000721049;-3.79921e-06
-1.77765e-06;0.000731592;-3.79824e-06
-1.77679e-06;0.00088092;-3.79726e-06
-1.77619e-06;0.000749511;-3.79628e-06
-1.77522e-06;0.00100102;-3.79531e-06
-1.77447e-06;0.000826009;-3.79433e-06
-1.77373e-06;0.000857302;-3.79335e-06
-1.77256e-06;0.000836831;-3.79238e-06
-1.77181e-06;0.00071304;-3.7914e-06
-1.77108e-06;0.00062205;-3.79042e-06
-1.76999e-06;0.000705236;-3.78945e-06
-1.76907e-06;0.000391715;-3.78847e-06
-1.76844e-06;0.000781101;-3.78749e-06
-1.76758e-06;0.000908785;-3.78652e-06
-1.76686e-06;0.000829921;-3.78554e-06
-1.76586e-06;0.00085421;-3.78456e-06
-1.76496e-06;0.0010513;-3.78359e-06
-1.76416e-06;0.000955147;-3.78261e-06
-1.7632e-06;0.000907798;-3.78163e-06
-1.7625e-06;0.000928325;-3.78066e-06
-1.76163e-06;0.000872948;-3.77968e-06
-1.76077e-06;0.000986998;-3.7787e-06
-1.7601e-06;0.00086926;-3.77773e-06
-1.75915e-06;0.000970867;-3.77675e-06
-1.75813e-06;0.000966695;-3.77577e-06
-1.75714e-06;0.000837129;-3.7748e-06
-1.7566e-06;0.000975468;-3.77382e-06
-1.75536e-06;0.000978802;-3.77284e-06
-1.75485e-06;0.00106849;-3.77187e-06
-1.75391e-06;0.00107013;-3.77089e-06
-1.75279e-06;0.00100719;-3.76991e-06
-1.75239e-06;0.0012907;-3.76894e-06
-1.75124e-06;0.00101203;-3.76796e-06
-1.75049e-06;0.00102837;-3.76698e-06
-1.74987e-06;0.00117729;-3.76601e-06
-1.7489e-06;0.00109628;-3.76503e-06
-1.74796e-06;0.00127418;-3.76405e-06
-1.74709e-06;0.00102876;-3.76308e-06
-1.7463e-06;0.00114452;-3.7621e-06
-1.74558e-06;0.00127332;-3.76112e-06
-1.74442e-06;0.00105923;-3.76015e-06
-1.74353e-06;0.00103729;-3.75917e-06
-1.74264e-06;0.00126289;-3.75819e-06
-1.74167e-06;0.00138009;-3.75722e-06
-1.74097e-06;0.00125563;-3.75624e-06
-1.73994e-06;0.00111925;-3.75526e-06
-1.73941e-06;0.00117248;-3.75429e-06
-1.73859e-06;0.0015039;-3.75331e-06
-1.73765e-06;0.00142358;-3.75233e-06
-1.73682e-06;0.00143726;-3.75136e-06
-1.73628e-06;0.00143122;-3.75038e-06
-1.73499e-06;0.00128865;-3.7494e-06
-1.73427e-06;0.00145465;-3.74843e-06
-1.73311e-06;0.00137907;-3.74745e-06
-1.7324e-06;0.00146186;-3.74647e-06
-1.73167e-06;0.00143763;-3.7455e-06
-1.73052e-06;0.00142966;-3.74452e-06
-1.72992e-06;0.00166269;-3.74354e-06
-1.72904e-06;0.00160266;-3.74257e-06
-1.72798e-06;0.00157831;-3.74159e-06
-1.72742e-06;0.00171118;-3.74061e-06
-1.72624e-06;0.00155194;-3.73964e-06
-1.72543e-06;0.00166899;-3.73866e-06
-1.72474e-06;0.00166919;-3.73768e-06
-1.72378e-06;0.00172436;-3.73671e-06
-1.72277e-06;0.00170896;-3.73573e-06
-1.72167e-06;0.00164403;-3.73475e-06
