#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00031_20241104.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=5e-09m/V
#SpecMode=Map
#SpecMap-Dim=-1e-05;1e-05;-1e-05;1e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=1
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=10240
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-1.92313e-06;0.000106842;-3.85e-06
-1.92317e-06;8.50492e-05;-3.84902e-06
-1.92209e-06;0.000326616;-3.84805e-06
-1.92127e-06;0.000195467;-3.84707e-06
-1.92082e-06;0.000264962;-3.84609e-06
-1.91949e-06;0.000230578;-3.84512e-06
-1.9189e-06;0.000305642;-3.84414e-06
-1.91777e-06;0.000336376;-3.84316e-06
-1.91728e-06;0.000352972;-3.84219e-06
-1.91657e-06;0.000188575;-3.84121e-06
-1.91555e-06;0.000280944;-3.84023e-06
-1.91503e-06;0.000272562;-3.83926e-06
-1.91443e-06;0.00038039;-3.83828e-06
-1.91317e-06;0.000504889;-3.8373e-06
-1.91242e-06;0.000373089;-3.83633e-06
-1.91181e-06;0.000447855;-3.83535e-06
-1.9107e-06;0.000556876;-3.83437e-06
-1.91022e-06;0.000394807;-3.8334e-06
-1.90915e-06;0.000439194;-3.83242e-06
-1.90842e-06;0.000418444;-3.83144e-06
-1.90781e-06;0.000533034;-3.83047e-06
-1.90683e-06;0.000357759;-3.82949e-06
-1.90588e-06;0.000565034;-3.82851e-06
-1.9054e-06;0.000453089;-3.82754e-06
-1.90446e-06;0.000593645;-3.82656e-06
-1.90374e-06;0.000584946;-3.82558e-06
-1.90301e-06;0.000462291;-3.82461e-06
-1.90197e-06;0.000522771;-3.82363e-06
-1.90103e-06;0.000575782;-3.82265e-06
-1.90006e-06;0.000482798;-3.82168e-06
-1.89951e-06;0.000552853;-3.8207e-06
-1.89843e-06;0.000623652;-3.81972e-06
-1.8978e-06;0.000744835;-3.81875e-06
-1.8972e-06;0.000604299;-3.81777e-06
-1.8962e-06;0.000564755;-3.81679e-06
-1.89534e-06;0.000628495;-3.81582e-06
-1.89446e-06;0.000682381;-3.81484e-06
-1.89343e-06;0.000656565;-3.81386e-06
-1.89275e-06;0.000568443;-3.81289e-06
-1.89187e-06;0.000634548;-3.81191e-06
-1.89107e-06;0.000899193;-3.81093e-06
-1.89009e-06;0.000764505;-3.80996e-06
-1.88919e-06;0.000633039;-3.80898e-06
-1.88867e-06;0.000757203;-3.808e-06
-1.88745e-06;0.000967403;-3.80703e-06
-1.88664e-06;0.000893158;-3.80605e-06
-1.88587e-06;0.000962336;-3.80507e-06
-1.88518e-06;0.00101781;-3.8041e-06
-1.88423e-06;0.000801627;-3.80312e-06
-1.88363e-06;0.000807811;-3.80214e-06
-1.88277e-06;0.000974872;-3.80117e-06
-1.88207e-06;0.000879188;-3.80019e-06
-1.88128e-06;0.000859109;-3.79921e-06
-1.88043e-06;0.000992493;-3.79824e-06
-1.87931e-06;0.00104275;-3.79726e-06
-1.87877e-06;0.00101954;-3.79628e-06
-1.87775e-06;0.000991692;-3.79531e-06
-1.87674e-06;0.000956153;-3.79433e-06
-1.87606e-06;0.00108795;-3.79335e-06
-1.87537e-06;0.00106361;-3.79238e-06
-1.87464e-06;0.000828543;-3.7914e-06
-1.87401e-06;0.00104774;-3.79042e-06
-1.87294e-06;0.00121616;-3.78945e-06
-1.87202e-06;0.00131255;-3.78847e-06
-1.87142e-06;0.00109252;-3.78749e-06
-1.87005e-06;0.00121113;-3.78652e-06
-1.86949e-06;0.00112893;-3.78554e-06
-1.86844e-06;0.00108253;-3.78456e-06
-1.86764e-06;0.00123313;-3.78359e-06
-1.86677e-06;0.00115577;-3.78261e-06
-1.86586e-06;0.00118191;-3.78163e-06
-1.86513e-06;0.00109781;-3.78066e-06
