#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00031_20241104.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=5e-09m/V
#SpecMode=Map
#SpecMap-Dim=-1e-05;1e-05;-1e-05;1e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=8
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=10240
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-1.78124e-06;0.000211802;-3.85e-06
-1.78086e-06;0.000229535;-3.84902e-06
-1.78016e-06;0.000295062;-3.84805e-06
-1.77945e-06;0.000201893;-3.84707e-06
-1.77873e-06;0.000247938;-3.84609e-06
-1.77776e-06;0.000233726;-3.84512e-06
-1.77723e-06;4.50955e-05;-3.84414e-06
-1.7764e-06;0.000150167;-3.84316e-06
-1.77544e-06;0.000235532;-3.84219e-06
-1.77488e-06;0.000380465;-3.84121e-06
-1.77393e-06;1.52373e-05;-3.84023e-06
-1.77333e-06;0.000201781;-3.83926e-06
-1.7726e-06;0.000376106;-3.83828e-06
-1.77171e-06;0.000195839;-3.8373e-06
-1.77078e-06;8.70609e-05;-3.83633e-06
-1.76991e-06;0.000263714;-3.83535e-06
-1.76888e-06;0.000201818;-3.83437e-06
-1.76842e-06;0.000198298;-3.8334e-06
-1.7672e-06;0.000195802;-3.83242e-06
-1.76664e-06;0.000325591;-3.83144e-06
-1.76591e-06;0.000392665;-3.83047e-06
-1.76525e-06;0.000205357;-3.82949e-06
-1.76441e-06;0.000184626;-3.82851e-06
-1.7633e-06;0.000287668;-3.82754e-06
-1.76259e-06;0.000102335;-3.82656e-06
-1.76175e-06;0.000297447;-3.82558e-06
-1.76116e-06;0.000295621;-3.82461e-06
-1.76021e-06;0.000234452;-3.82363e-06
-1.75918e-06;0.000332464;-3.82265e-06
-1.75829e-06;0.000452214;-3.82168e-06
-1.75784e-06;0.000462626;-3.8207e-06
-1.75679e-06;0.000446924;-3.81972e-06
-1.75585e-06;0.000405387;-3.81875e-06
-1.75519e-06;0.000538734;-3.81777e-06
-1.75411e-06;0.000366253;-3.81679e-06
