#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00031_20241104.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=5e-09m/V
#SpecMode=Map
#SpecMap-Dim=-1e-05;1e-05;-1e-05;1e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=6
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=10240
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [N];Z-Axis-Out [m]
-1.79708e-06;-6.13733e-05;-3.85e-06
-1.79627e-06;8.61668e-05;-3.84902e-06
-1.79565e-06;0.000114069;-3.84805e-06
-1.79481e-06;0.000364893;-3.84707e-06
-1.79437e-06;0.00033524;-3.84609e-06
-1.79355e-06;7.77849e-05;-3.84512e-06
-1.79235e-06;0.000282229;-3.84414e-06
-1.7918e-06;0.000298993;-3.84316e-06
-1.79091e-06;0.000339878;-3.84219e-06
-1.79014e-06;0.000282657;-3.84121e-06
-1.78951e-06;0.000170563;-3.84023e-06
-1.7888e-06;0.000189134;-3.83926e-06
-1.78803e-06;0.000390747;-3.83828e-06
-1.78694e-06;0.000452381;-3.8373e-06
-1.7862e-06;0.000215602;-3.83633e-06
-1.78519e-06;5.98104e-05;-3.83535e-06
-1.7843e-06;0.000360404;-3.83437e-06
-1.78384e-06;5.55263e-05;-3.8334e-06
-1.78289e-06;0.000394062;-3.83242e-06
-1.78196e-06;0.000565872;-3.83144e-06
-1.78146e-06;0.000456554;-3.83047e-06
-1.78029e-06;0.000404064;-3.82949e-06
-1.77957e-06;0.000310616;-3.82851e-06
-1.77886e-06;0.000515507;-3.82754e-06
-1.7779e-06;0.00050502;-3.82656e-06
-1.77744e-06;0.000586864;-3.82558e-06
-1.77641e-06;0.000529756;-3.82461e-06
-1.77549e-06;0.000438877;-3.82363e-06
-1.77452e-06;0.000544936;-3.82265e-06
-1.77386e-06;0.000732654;-3.82168e-06
-1.77317e-06;0.000804813;-3.8207e-06
-1.77226e-06;0.000778009;-3.81972e-06
-1.77127e-06;0.000655913;-3.81875e-06
-1.77093e-06;0.000720267;-3.81777e-06
-1.77006e-06;0.000870303;-3.81679e-06
-1.76905e-06;0.000727178;-3.81582e-06
-1.76836e-06;0.000739043;-3.81484e-06
-1.76748e-06;0.000743606;-3.81386e-06
-1.76652e-06;0.000755937;-3.81289e-06
-1.7659e-06;0.000682958;-3.81191e-06
-1.76504e-06;0.000671075;-3.81093e-06
-1.76392e-06;0.000749138;-3.80996e-06
-1.76344e-06;0.000823681;-3.80898e-06
-1.7624e-06;0.000852869;-3.808e-06
-1.76149e-06;0.000840538;-3.80703e-06
-1.76089e-06;0.000920781;-3.80605e-06
-1.76028e-06;0.000637249;-3.80507e-06
-1.75922e-06;0.000940823;-3.8041e-06
-1.75819e-06;0.000900832;-3.80312e-06
-1.7575e-06;0.000945424;-3.80214e-06
-1.75642e-06;0.000771173;-3.80117e-06
-1.75571e-06;0.000926481;-3.80019e-06
-1.75479e-06;0.000921526;-3.79921e-06
-1.75399e-06;0.000806154;-3.79824e-06
-1.75339e-06;0.000814368;-3.79726e-06
-1.75244e-06;0.000948925;-3.79628e-06
-1.75146e-06;0.000903198;-3.79531e-06
-1.75066e-06;0.000986067;-3.79433e-06
-1.74992e-06;0.00101311;-3.79335e-06
-1.74913e-06;0.000988935;-3.79238e-06
-1.74831e-06;0.00106154;-3.7914e-06
-1.74734e-06;0.00108088;-3.79042e-06
-1.74664e-06;0.000909959;-3.78945e-06
-1.74578e-06;0.00100378;-3.78847e-06
-1.74491e-06;0.000896939;-3.78749e-06
-1.74404e-06;0.000858382;-3.78652e-06
-1.7429e-06;0.000906532;-3.78554e-06
-1.74215e-06;0.00111027;-3.78456e-06
-1.74142e-06;0.00112448;-3.78359e-06
-1.74044e-06;0.00120767;-3.78261e-06
-1.73959e-06;0.00107765;-3.78163e-06
-1.73909e-06;0.00116352;-3.78066e-06
-1.73821e-06;0.00102192;-3.77968e-06
-1.73739e-06;0.00115279;-3.7787e-06
-1.73636e-06;0.0010491;-3.77773e-06
-1.73537e-06;0.00122337;-3.77675e-06
-1.73459e-06;0.00107408;-3.77577e-06
-1.73378e-06;0.00124615;-3.7748e-06
