#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=3
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6457
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.28074e-06;0.000199685;-6.03769e-06
-4.27957e-06;0.0001786;-6.03671e-06
-4.27858e-06;0.000300864;-6.03574e-06
-4.27785e-06;0.000399901;-6.03476e-06
-4.27678e-06;0.000344524;-6.03378e-06
-4.27557e-06;0.00030051;-6.03281e-06
-4.27525e-06;0.000362685;-6.03183e-06
-4.27423e-06;0.000350727;-6.03085e-06
-4.27358e-06;0.000252714;-6.02988e-06
-4.27252e-06;0.000338377;-6.0289e-06
-4.27159e-06;0.00039923;-6.02792e-06
-4.27088e-06;0.000427337;-6.02695e-06
-4.26995e-06;0.000431119;-6.02597e-06
-4.26946e-06;0.000523897;-6.02499e-06
-4.2684e-06;0.000509629;-6.02402e-06
-4.2672e-06;0.000410983;-6.02304e-06
-4.26652e-06;0.00045999;-6.02206e-06
-4.26533e-06;0.000383882;-6.02109e-06
-4.26501e-06;0.000443431;-6.02011e-06
-4.26398e-06;0.000275327;-6.01913e-06
-4.26314e-06;0.000414373;-6.01816e-06
-4.26224e-06;0.00031135;-6.01718e-06
-4.26137e-06;0.000567371;-6.0162e-06
-4.26032e-06;0.000548093;-6.01523e-06
-4.2597e-06;0.000650464;-6.01425e-06
-4.25871e-06;0.000339104;-6.01327e-06
-4.25801e-06;0.000444679;-6.0123e-06
-4.25697e-06;0.000340538;-6.01132e-06
-4.25613e-06;0.000154627;-6.01034e-06
-4.25547e-06;0.000321874;-6.00937e-06
-4.2543e-06;0.000442015;-6.00839e-06
-4.25333e-06;0.000499142;-6.00741e-06
-4.25287e-06;0.000490574;-6.00644e-06
-4.25159e-06;0.000387924;-6.00546e-06
-4.25119e-06;0.000430187;-6.00448e-06
-4.2501e-06;0.000440283;-6.00351e-06
-4.249e-06;0.000448497;-6.00253e-06
-4.24842e-06;0.000380287;-6.00155e-06
-4.2476e-06;0.000405712;-6.00058e-06
-4.24636e-06;0.000383733;-5.9996e-06
-4.24567e-06;0.000543678;-5.99862e-06
-4.24452e-06;0.000422085;-5.99765e-06
-4.2437e-06;0.000413144;-5.99667e-06
-4.24285e-06;0.000441158;-5.99569e-06
-4.24204e-06;0.000356408;-5.99472e-06
-4.24091e-06;0.000359034;-5.99374e-06
-4.24026e-06;0.00036777;-5.99276e-06
-4.23919e-06;0.000434788;-5.99179e-06
-4.23865e-06;0.000362648;-5.99081e-06
-4.23775e-06;0.00057471;-5.98983e-06
-4.23654e-06;0.000396566;-5.98886e-06
-4.23579e-06;0.000460921;-5.98788e-06
-4.23474e-06;0.000341842;-5.9869e-06
-4.23391e-06;0.000435961;-5.98593e-06
-4.2331e-06;0.000388706;-5.98495e-06
-4.23212e-06;0.000433521;-5.98397e-06
-4.23126e-06;0.000373246;-5.983e-06
-4.23061e-06;0.00041035;-5.98202e-06
-4.22954e-06;0.000491096;-5.98104e-06
-4.22827e-06;0.000350708;-5.98007e-06
-4.22782e-06;0.000524009;-5.97909e-06
-4.22693e-06;0.000573369;-5.97811e-06
-4.2257e-06;0.000324091;-5.97714e-06
-4.22501e-06;0.000427337;-5.97616e-06
-4.22396e-06;0.000576219;-5.97518e-06
-4.22304e-06;0.000457065;-5.97421e-06
-4.2223e-06;0.000663782;-5.97323e-06
-4.22129e-06;0.000588531;-5.97225e-06
-4.22032e-06;0.000621369;-5.97128e-06
-4.21956e-06;0.000481429;-5.9703e-06
-4.21866e-06;0.000605723;-5.96932e-06
-4.21765e-06;0.000675553;-5.96835e-06
-4.21675e-06;0.000585066;-5.96737e-06
-4.21578e-06;0.000600433;-5.96639e-06
-4.21493e-06;0.000573387;-5.96542e-06
-4.2142e-06;0.000581844;-5.96444e-06
-4.21283e-06;0.000550291;-5.96346e-06
-4.21222e-06;0.000733742;-5.96249e-06
-4.21125e-06;0.00065458;-5.96151e-06
-4.21036e-06;0.000589406;-5.96054e-06
-4.20942e-06;0.000892477;-5.95956e-06
-4.2085e-06;0.000639865;-5.95858e-06
-4.20757e-06;0.000666073;-5.95761e-06
-4.20708e-06;0.000755871;-5.95663e-06
-4.20566e-06;0.00066488;-5.95565e-06
-4.205e-06;0.000731992;-5.95468e-06
-4.20379e-06;0.000642417;-5.9537e-06
-4.20293e-06;0.000812048;-5.95272e-06
-4.20241e-06;0.000627385;-5.95175e-06
-4.20131e-06;0.000821995;-5.95077e-06
-4.20037e-06;0.000520414;-5.94979e-06
-4.19936e-06;0.000640405;-5.94882e-06
-4.19856e-06;0.000611963;-5.94784e-06
-4.19739e-06;0.000740504;-5.94686e-06
-4.19675e-06;0.000636997;-5.94589e-06
-4.19578e-06;0.000557164;-5.94491e-06
-4.19502e-06;0.000501378;-5.94393e-06
-4.1941e-06;0.000652792;-5.94296e-06
-4.19307e-06;0.000604736;-5.94198e-06
-4.19248e-06;0.000695558;-5.941e-06
-4.19123e-06;0.000523301;-5.94003e-06
-4.19012e-06;0.000641486;-5.93905e-06
-4.18944e-06;0.000524381;-5.93807e-06
-4.18869e-06;0.000662981;-5.9371e-06
-4.18762e-06;0.000588866;-5.93612e-06
-4.18684e-06;0.000579068;-5.93514e-06
