#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=4
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6496
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.37317e-06;0.00010808;-6.15e-06
-4.37253e-06;5.16977e-05;-6.14902e-06
-4.37204e-06;-6.06198e-05;-6.14805e-06
-4.37109e-06;7.40401e-06;-6.14707e-06
-4.3705e-06;-0.00011011;-6.14609e-06
-4.36978e-06;-8.11461e-05;-6.14512e-06
-4.36871e-06;-2.69618e-05;-6.14414e-06
-4.3681e-06;0.00014239;-6.14316e-06
-4.36723e-06;6.09364e-05;-6.14219e-06
-4.36652e-06;1.81701e-05;-6.14121e-06
-4.36566e-06;9.19122e-05;-6.14023e-06
-4.3647e-06;-6.43078e-05;-6.13926e-06
-4.36416e-06;8.37166e-05;-6.13828e-06
-4.36297e-06;8.76654e-05;-6.1373e-06
-4.36256e-06;0.000126353;-6.13633e-06
-4.36177e-06;-1.4063e-06;-6.13535e-06
-4.36048e-06;-2.70084e-07;-6.13437e-06
-4.35976e-06;0.000100182;-6.1334e-06
-4.35892e-06;5.80214e-06;-6.13242e-06
-4.35798e-06;-5.78631e-05;-6.13144e-06
-4.35727e-06;5.88875e-05;-6.13047e-06
-4.35648e-06;-4.17698e-05;-6.12949e-06
-4.35534e-06;3.32948e-05;-6.12851e-06
-4.35475e-06;-5.83287e-05;-6.12754e-06
-4.35419e-06;6.55185e-05;-6.12656e-06
-4.35304e-06;4.36138e-05;-6.12558e-06
-4.35243e-06;0.000160793;-6.12461e-06
-4.35113e-06;0.000116741;-6.12363e-06
-4.35089e-06;1.11107e-05;-6.12265e-06
-4.35004e-06;-3.62284e-06;-6.12167e-06
-4.34876e-06;-6.08247e-05;-6.1207e-06
-4.34822e-06;-5.36349e-05;-6.11972e-06
