#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=7
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6660
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.36654e-06;-9.18563e-05;-6.15e-06
-4.36639e-06;-0.000170572;-6.14902e-06
-4.36565e-06;-0.000149319;-6.14805e-06
-4.36467e-06;-6.60028e-05;-6.14707e-06
-4.36396e-06;-0.000293637;-6.14609e-06
-4.36298e-06;-0.000204248;-6.14512e-06
-4.36244e-06;-0.000168337;-6.14414e-06
-4.36149e-06;-2.82191e-06;-6.14316e-06
-4.36039e-06;-0.000128234;-6.14219e-06
-4.36e-06;-0.000133133;-6.14121e-06
-4.35911e-06;-0.000176439;-6.14023e-06
-4.35807e-06;-3.15811e-05;-6.13926e-06
-4.35772e-06;2.3935e-06;-6.13828e-06
-4.35691e-06;-7.73277e-05;-6.1373e-06
-4.35601e-06;-0.000155168;-6.13633e-06
-4.35524e-06;-0.000237348;-6.13535e-06
-4.35426e-06;-0.000130134;-6.13437e-06
-4.35344e-06;-0.000113016;-6.1334e-06
-4.35277e-06;-0.000208085;-6.13242e-06
-4.35186e-06;-0.000326289;-6.13144e-06
-4.35092e-06;-0.000103889;-6.13047e-06
-4.34995e-06;-8.74046e-05;-6.12949e-06
-4.34896e-06;-7.60239e-05;-6.12851e-06
-4.34867e-06;-0.000195904;-6.12754e-06
-4.34752e-06;-0.000154311;-6.12656e-06
-4.34673e-06;-3.84636e-06;-6.12558e-06
-4.34601e-06;2.76323e-05;-6.12461e-06
-4.34516e-06;-0.000122013;-6.12363e-06
-4.34435e-06;-3.62005e-05;-6.12265e-06
-4.34348e-06;-0.00010808;-6.12168e-06
-4.34267e-06;-4.78979e-05;-6.1207e-06
-4.34188e-06;-0.000140248;-6.11972e-06
-4.34115e-06;-2.84333e-05;-6.11875e-06
-4.34017e-06;-0.000126855;-6.11777e-06
-4.33945e-06;-8.26735e-05;-6.1168e-06
-4.33837e-06;-7.41612e-05;-6.11582e-06
-4.33759e-06;-2.82098e-05;-6.11484e-06
-4.33669e-06;-1.18557e-05;-6.11387e-06
-4.33604e-06;1.29547e-05;-6.11289e-06
-4.33497e-06;-3.71505e-05;-6.11191e-06
-4.33415e-06;-2.34041e-05;-6.11094e-06
-4.3332e-06;-7.74581e-05;-6.10996e-06
-4.33233e-06;-4.67617e-05;-6.10898e-06
-4.3319e-06;-7.06594e-05;-6.10801e-06
-4.3308e-06;-0.000120075;-6.10703e-06
-4.33041e-06;-4.27384e-05;-6.10605e-06
-4.32954e-06;-0.000124099;-6.10508e-06
-4.32846e-06;-0.000168746;-6.1041e-06
-4.32785e-06;-0.000194805;-6.10312e-06
-4.32666e-06;-7.1181e-05;-6.10215e-06
-4.32603e-06;-7.38259e-05;-6.10117e-06
-4.32521e-06;2.3311e-05;-6.10019e-06
-4.32438e-06;9.0031e-05;-6.09922e-06
-4.3235e-06;-0.000164555;-6.09824e-06
-4.32272e-06;0.000109514;-6.09726e-06
-4.32198e-06;-8.77772e-05;-6.09629e-06
-4.32101e-06;2.53413e-05;-6.09531e-06
-4.32016e-06;9.2322e-05;-6.09433e-06
-4.31914e-06;0.000215443;-6.09336e-06
-4.3185e-06;4.40516e-06;-6.09238e-06
-4.31779e-06;1.80583e-05;-6.0914e-06
-4.31692e-06;-2.48756e-05;-6.09043e-06
-4.31604e-06;-4.14904e-05;-6.08945e-06
-4.31508e-06;-1.18185e-05;-6.08847e-06
-4.31406e-06;-4.78607e-05;-6.0875e-06
-4.3134e-06;-0.000150735;-6.08652e-06
-4.31255e-06;-2.59746e-05;-6.08554e-06
-4.31179e-06;-0.000104168;-6.08457e-06
-4.31104e-06;-0.000210414;-6.08359e-06
-4.31012e-06;-0.000115829;-6.08261e-06
-4.30906e-06;-5.29084e-05;-6.08164e-06
-4.30799e-06;-0.000193873;-6.08066e-06
-4.30732e-06;-0.000232076;-6.07968e-06
-4.30668e-06;-5.65965e-05;-6.07871e-06
-4.30577e-06;-9.49111e-05;-6.07773e-06
-4.30513e-06;5.2806e-06;-6.07675e-06
-4.30412e-06;3.08361e-05;-6.07578e-06
-4.30345e-06;2.99979e-05;-6.0748e-06
-4.30246e-06;-0.000101728;-6.07382e-06
-4.3016e-06;8.98726e-06;-6.07285e-06
-4.30047e-06;-0.000113947;-6.07187e-06
-4.29971e-06;2.63099e-05;-6.07089e-06
-4.29919e-06;-0.000104373;-6.06992e-06
-4.29807e-06;1.82074e-05;-6.06894e-06
-4.29726e-06;7.16839e-05;-6.06796e-06
-4.29644e-06;-5.08036e-05;-6.06699e-06
-4.29527e-06;4.0913e-05;-6.06601e-06
-4.29451e-06;9.13162e-05;-6.06503e-06
-4.29374e-06;0.000232952;-6.06406e-06
-4.29334e-06;6.33392e-05;-6.06308e-06
-4.29229e-06;8.46479e-05;-6.0621e-06
-4.29125e-06;0.000127004;-6.06113e-06
-4.29045e-06;9.58983e-05;-6.06015e-06
-4.2894e-06;4.69666e-05;-6.05917e-06
-4.28843e-06;6.91321e-05;-6.0582e-06
-4.28768e-06;1.71084e-05;-6.05722e-06
-4.28701e-06;-5.22193e-05;-6.05624e-06
-4.28642e-06;-0.000169473;-6.05527e-06
-4.28533e-06;-7.96746e-05;-6.05429e-06
-4.28433e-06;-0.000159116;-6.05331e-06
-4.28356e-06;-9.7556e-05;-6.05234e-06
-4.28273e-06;-0.000195494;-6.05136e-06
-4.28184e-06;-6.22589e-05;-6.05039e-06
-4.28087e-06;1.37556e-05;-6.04941e-06
-4.27991e-06;-1.14832e-05;-6.04843e-06
-4.27943e-06;-0.000109794;-6.04746e-06
-4.27819e-06;-2.10758e-05;-6.04648e-06
-4.27763e-06;-1.33459e-05;-6.0455e-06
-4.27627e-06;-0.000161016;-6.04453e-06
-4.27569e-06;5.78072e-05;-6.04355e-06
-4.27507e-06;-0.000161277;-6.04257e-06
-4.27398e-06;0.000134064;-6.0416e-06
-4.27333e-06;0.000170646;-6.04062e-06
-4.27257e-06;7.84267e-05;-6.03964e-06
-4.27122e-06;2.82843e-05;-6.03867e-06
-4.27061e-06;9.84501e-05;-6.03769e-06
-4.26954e-06;4.67617e-05;-6.03671e-06
-4.26898e-06;0.00023081;-6.03574e-06
-4.26808e-06;0.000491878;-6.03476e-06
-4.26709e-06;0.000176961;-6.03378e-06
-4.2664e-06;0.000205366;-6.03281e-06
-4.2655e-06;0.000141626;-6.03183e-06
-4.26454e-06;0.000246363;-6.03085e-06
-4.26393e-06;0.00019853;-6.02988e-06
-4.26304e-06;3.27174e-05;-6.0289e-06
-4.26192e-06;7.01752e-05;-6.02792e-06
-4.26118e-06;0.000190297;-6.02695e-06
-4.26006e-06;0.000191098;-6.02597e-06
-4.25941e-06;0.000236323;-6.02499e-06
-4.25868e-06;0.00021209;-6.02402e-06
-4.25763e-06;0.000664508;-6.02304e-06
-4.25678e-06;0.000376878;-6.02206e-06
-4.25601e-06;0.000259345;-6.02109e-06
-4.25501e-06;0.000234963;-6.02011e-06
-4.25439e-06;0.000234051;-6.01913e-06
-4.25364e-06;0.000340855;-6.01816e-06
-4.25257e-06;0.000284435;-6.01718e-06
-4.2517e-06;0.000192644;-6.0162e-06
-4.25071e-06;0.000262009;-6.01523e-06
-4.24992e-06;0.000383938;-6.01425e-06
-4.2489e-06;0.000319062;-6.01327e-06
-4.24791e-06;0.000184635;-6.0123e-06
-4.24717e-06;0.000237571;-6.01132e-06
-4.24621e-06;0.000190875;-6.01034e-06
-4.24536e-06;0.000237869;-6.00937e-06
-4.24458e-06;0.00020639;-6.00839e-06
-4.24369e-06;0.000213692;-6.00741e-06
-4.24269e-06;0.000390178;-6.00644e-06
-4.2419e-06;0.000162693;-6.00546e-06
-4.24114e-06;5.40074e-05;-6.00448e-06
-4.24033e-06;0.000164015;-6.00351e-06
-4.2393e-06;0.000163624;-6.00253e-06
-4.2386e-06;0.000296896;-6.00155e-06
-4.23725e-06;0.000176346;-6.00058e-06
-4.23655e-06;0.000268435;-5.9996e-06
-4.23587e-06;0.00022742;-5.99862e-06
-4.23481e-06;0.000247369;-5.99765e-06
-4.23397e-06;0.000385912;-5.99667e-06
-4.23348e-06;0.000237105;-5.99569e-06
-4.23196e-06;0.000447584;-5.99472e-06
-4.23132e-06;0.000386881;-5.99374e-06
-4.23049e-06;0.000547944;-5.99276e-06
-4.22947e-06;0.000249771;-5.99179e-06
-4.22881e-06;0.000297287;-5.99081e-06
-4.228e-06;0.000394238;-5.98983e-06
-4.22697e-06;0.000258265;-5.98886e-06
-4.22614e-06;0.000499086;-5.98788e-06
-4.225e-06;0.000305688;-5.98691e-06
-4.22391e-06;0.000302223;-5.98593e-06
-4.22354e-06;0.00040642;-5.98495e-06
-4.2224e-06;0.00050175;-5.98398e-06
-4.22155e-06;0.000461498;-5.983e-06
-4.22027e-06;0.000364752;-5.98202e-06
-4.21937e-06;0.000463417;-5.98105e-06
-4.21848e-06;0.000425847;-5.98007e-06
-4.21779e-06;0.000491822;-5.97909e-06
-4.21728e-06;0.000351267;-5.97812e-06
-4.21614e-06;0.000450062;-5.97714e-06
