
// =========================================================================================================
// 2024-10-24, 14:45:56
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           0.90000           0.06200           0.00200       -3796.83200          -1.60246          -0.04266
           0.91000           0.06300           0.00200       -3796.83100          -1.53871          -0.04266
           0.92000           0.06300           0.00200       -3796.83100          -1.09245          -0.01718
           0.93000           0.06200           0.00300       -3796.83100          -1.72997           0.00192
           0.94000           0.06300           0.00200       -3796.83100          -1.02870           0.04650
           0.95000           0.06300           0.00200       -3796.83100          -1.47496           0.00192
           0.96000           0.06200           0.00300       -3796.83100          -0.58244           0.03377
           0.97000           0.06200           0.00300       -3796.83200          -1.34746          -0.04266
           0.98000           0.06300           0.00200       -3796.83100          -1.72997          -0.08087
           0.99000           0.06200           0.00200       -3796.83100          -1.60246          -0.06813
           1.00000           0.06200           0.00300       -3796.83200          -0.96495           0.08471
           1.01000           0.06300           0.00300       -3796.83200          -2.17623          -0.00445
           1.02000           0.06200           0.00300       -3796.83100          -2.11248          -0.03629
           1.03000           0.06200           0.00300       -3796.83100          -0.70994           0.02103
           1.04000           0.06300           0.00300       -3796.83100          -1.79372          -0.08723
           1.05000           0.06200           0.00200       -3796.83100          -0.70994           0.01466
           1.06000           0.06200           0.00200       -3796.83100          -1.02870           0.04013
           1.07000           0.06300           0.00300       -3796.83200          -0.64619           0.02740
           1.08000           0.06200           0.00300       -3796.83200          -0.70994          -0.06176
           1.09000           0.06200           0.00200       -3796.83200          -1.09245           0.04013
           1.10000           0.06300           0.00200       -3796.83200          -0.26368           0.05924
           1.11000           0.06300           0.00300       -3796.83200          -1.41121          -0.05539
           1.12000           0.06200           0.00300       -3796.83100          -1.66621          -0.09360
           1.13000           0.06200           0.00300       -3796.83100          -1.98497           0.01466
           1.14000           0.06200           0.00300       -3796.83100          -1.02870          -0.04902
           1.15000           0.06300           0.00300       -3796.83200          -1.66621          -0.08723
           1.16000           0.06300           0.00300       -3796.83200          -0.51868          -0.07450
           1.17000           0.06300           0.00300       -3796.83200          -2.17623          -0.02355
           1.18000           0.06300           0.00300       -3796.83200          -0.19993           0.02103
           1.19000           0.06300           0.00200       -3796.83100          -0.77369           0.04650
           1.20000           0.06200           0.00300       -3796.83200          -1.72997          -0.04266
           1.21000           0.06200           0.00300       -3796.83200          -0.83744           0.08471
           1.22000           0.06300           0.00300       -3796.83200          -1.02870          -0.09997
           1.23000           0.06300           0.00300       -3796.83200          -1.53871           0.05924
           1.24000           0.06300           0.00300       -3796.83200          -0.90119          -0.08087
           1.25000           0.06300           0.00400       -3796.83200          -2.62249          -0.06813
           1.26000           0.06300           0.00300       -3796.83200          -0.70994           0.09108
           1.27000           0.06300           0.00300       -3796.83200          -0.96495           0.06561
           1.28000           0.06300           0.00300       -3796.83200          -1.34746           0.01466
           1.29000           0.06300           0.00300       -3796.83200          -1.98497          -0.08723
           1.30000           0.06300           0.00300       -3796.83200          -1.34746          -0.11908
           1.31000           0.06400           0.00300       -3796.83200          -2.17623          -0.04266
           1.32000           0.06300           0.00300       -3796.83200          -1.60246          -0.13181
           1.33000           0.06300           0.00200       -3796.83200          -1.79372           0.00192
           1.34000           0.06300           0.00200       -3796.83200          -1.09245           0.04650
           1.35000           0.06300           0.00200       -3796.83200          -1.02870           0.06561
           1.36000           0.06300           0.00200       -3796.83200          -1.53871          -0.02355
           1.37000           0.06300           0.00200       -3796.83200          -1.60246          -0.03629
           1.38000           0.06300           0.00300       -3796.83200          -1.60246          -0.01081
           1.39000           0.06300           0.00300       -3796.83200          -0.70994           0.06561
           1.40000           0.06300           0.00300       -3796.83200          -0.45493           0.09745
